generation,median,p25,p75,baseline
50,29.11111111111111,29.080555555555556,30.529239766081872,map_elites
100,31.6,29.017391304347825,32.082608695652176,map_elites
150,30.954545454545453,28.803359683794465,31.054195804195803,map_elites
200,30.166666666666668,28.583333333333336,30.73717948717949,map_elites
250,30.25,28.27314814814815,30.5,map_elites
300,30.06896551724138,27.82758620689655,30.177339901477833,map_elites
350,29.548387096774192,28.057526881720428,29.899193548387096,map_elites
400,29.689655172413794,28.204202586206897,29.844827586206897,map_elites
450,28.903225806451612,27.3455522971652,29.435987903225808,map_elites
500,28.64516129032258,27.249051233396585,29.234345351043643,map_elites
550,28.806451612903224,27.703225806451613,29.50322580645161,map_elites
600,29.15625,27.703125,29.661458333333336,map_elites
650,28.21212121212121,27.2006552006552,29.81118881118881,map_elites
700,27.5,26.75,29.6625,map_elites
750,27.352941176470587,26.420373027259686,29.04551820728291,map_elites
800,28.02857142857143,27.107308970099666,29.335714285714285,map_elites
850,28.36111111111111,27.225,29.339646464646464,map_elites
900,28.36111111111111,27.21388888888889,29.369444444444444,map_elites
950,28.36111111111111,27.84013002364066,29.82949172576832,map_elites
1000,28.38888888888889,27.896572104018915,29.881944444444443,map_elites
1050,28.367346938775512,28.359349145063433,30.051020408163268,map_elites
1100,28.3265306122449,27.93249607535322,29.913265306122447,map_elites
1150,28.84,28.189230769230768,30.223921568627453,map_elites
1200,29.470588235294116,28.530165912518854,30.56548279689234,map_elites
1250,30.076923076923077,28.68846153846154,30.896952104499274,map_elites
1300,30.14814814814815,29.074074074074076,30.93256464011181,map_elites
1350,30.055555555555557,28.8968253968254,30.886268343815516,map_elites
1400,30.0,28.651162790697676,30.919642857142858,map_elites
1450,30.0,29.1,30.69298245614035,map_elites
1500,30.642857142857142,29.443650793650793,31.031954887218046,map_elites
1550,30.92982456140351,29.790999237223495,31.166666666666668,map_elites
1600,31.396551724137932,30.448275862068968,31.579631794272355,map_elites
1650,31.396551724137932,30.249296270232232,31.57115721800117,map_elites
1700,31.271186440677965,30.425593220338982,31.516949152542374,map_elites
1750,30.65573770491803,29.620321682647695,31.209224784662403,map_elites
1800,30.672131147540984,29.62851840395917,31.200472353431508,map_elites
1850,30.737704918032787,29.67073925146922,31.21631008613504,map_elites
1900,31.20967741935484,29.944461351186852,31.477720065609624,map_elites
1950,31.476190476190474,30.07771787960467,31.813095238095237,map_elites
2000,31.03125,29.855247641509436,31.474641393442624,map_elites
2050,31.03125,29.855247641509436,31.458247950819672,map_elites
2100,30.96969696969697,30.03939393939394,31.411077993045204,map_elites
2150,31.514705882352942,30.1234243697479,31.675385728061716,map_elites
2200,30.796875,29.76450892857143,31.202785326086957,map_elites
2250,30.90909090909091,29.79383116883117,31.28787878787879,map_elites
2300,31.075757575757574,29.774720893141946,31.35671936758893,map_elites
2350,30.96969696969697,29.739234449760765,31.310935441370223,map_elites
2400,30.984848484848484,29.816985645933016,31.325757575757578,map_elites
2450,31.0,29.741379310344826,32.04166666666667,map_elites
2500,31.16417910447761,30.005818365798127,31.945103250868943,map_elites
2550,31.149253731343283,29.807960199004974,31.848599468411365,map_elites
2600,31.104477611940297,29.96207487154392,31.86045798405234,map_elites
2650,31.104477611940297,29.96207487154392,32.26557213930349,map_elites
2700,31.529411764705884,30.27290260366442,32.45549535603715,map_elites
2750,31.73913043478261,30.296984572230016,32.54061784897026,map_elites
2800,32.114285714285714,30.46036866359447,32.95974025974026,map_elites
2850,32.2,30.48709677419355,33.022077922077926,map_elites
2900,32.57746478873239,30.683893684688776,33.17334777898158,map_elites
2950,32.31944444444444,30.50892857142857,33.235671589310826,map_elites
3000,32.41095890410959,30.713291952054796,33.4429794520548,map_elites
3050,32.397260273972606,30.737091675447843,33.4298801369863,map_elites
3100,32.04054054054054,30.512694512694512,33.44100197758735,map_elites
3150,32.373333333333335,30.656363636363636,33.613495934959346,map_elites
3200,32.473684210526315,30.676236044657095,33.72464698331194,map_elites
3250,32.294871794871796,30.816553544494724,33.61694809255785,map_elites
3300,32.256410256410255,30.775263951734537,33.60381488430269,map_elites
3350,32.282051282051285,30.626532887402455,33.44223046030275,map_elites
3400,32.32051282051282,30.64576365663322,33.36858974358974,map_elites
3450,32.0,30.414285714285715,33.1,map_elites
3500,32.0253164556962,30.426943942133814,33.142069992553985,map_elites
3550,31.8,30.292857142857144,32.90581395348837,map_elites
3600,31.54320987654321,30.164462081128747,32.77741889175998,map_elites
3650,31.129411764705882,30.09287489643745,32.58214774281806,map_elites
3700,31.176470588235293,30.095277547638773,32.605677154582764,map_elites
3750,31.176470588235293,30.095277547638773,32.6342123056119,map_elites
3800,31.17241379310345,30.09324915007285,32.62068965517241,map_elites
