generation,gac_genome_mean,gac_genome_median,gac_linkage_mean,epc_lz_mean,epc_lz_p90,epc_diversity_mean,nnd_mean,nnd_front_size
500,16.42,16.00,16.08,0.656,0.667,0.318,0.000,0
1000,17.30,17.00,17.03,0.624,0.632,0.351,0.000,50
1500,17.91,18.00,17.64,0.602,0.630,0.339,0.000,0
2000,17.91,18.00,17.63,0.594,0.625,0.342,0.628,44
2500,18.27,18.00,17.97,0.581,0.596,0.332,0.000,0
3000,19.42,19.00,19.11,0.559,0.596,0.313,1.027,40
3500,20.47,21.00,20.31,0.552,0.593,0.297,0.000,0
4000,19.66,20.00,19.26,0.567,0.596,0.302,0.625,47
4500,19.09,19.00,18.82,0.614,0.632,0.319,0.000,0
5000,20.36,20.00,20.03,0.613,0.633,0.292,0.717,40
