generation,gac,mean_novelty,archive_size
0,9.64,4.5463268957834835,5
1,10.24,4.220602757312731,10
2,9.8,3.6189914456940433,15
3,9.96,2.099692818776363,20
4,6.74,0.6364438208406514,25
5,7.32,0.7973130678039269,30
6,6.9,0.42112921573783557,35
7,6.38,0.5777400414280142,40
8,6.52,0.4894317726157621,45
9,7.0,0.5438154652833049,50
10,6.74,0.5787695558508221,55
11,6.98,0.5803940908437614,60
12,7.3,0.6094389943537827,65
13,7.64,0.6045812784179588,70
14,6.9,0.6024479839093083,75
15,6.8,0.5270633608548133,80
16,8.0,0.5796290452958335,85
17,8.14,0.5513712218959917,90
18,7.76,0.5372564594906293,95
19,7.4,0.47160145597611786,100
20,8.2,0.5770637162769293,105
21,7.88,0.46364146758181535,110
22,7.76,0.5005477452640356,115
23,8.3,0.5426639654220873,120
24,9.0,0.5289002980185504,125
25,8.48,0.5490670528290665,130
26,6.98,0.506475229526902,135
27,7.82,0.5016258812352841,140
28,7.36,0.48153027944863375,145
29,7.3,0.45828969591072627,150
30,7.1,0.47478252802591137,155
31,7.06,0.5002542764473088,160
32,7.5,0.5254886106198136,165
33,7.36,0.5175122419051946,170
34,7.56,0.5426663115263333,175
35,7.48,0.568109706126559,180
36,7.1,0.5527319862181701,185
37,7.22,0.5449871886661706,190
38,7.1,0.5549425981049805,195
39,7.06,0.5448943072518243,200
40,6.24,0.5634562961096675,200
41,7.5,0.5428589742849418,200
42,7.94,0.549373630267515,200
43,6.62,0.5629659796062656,200
44,7.22,0.5545013688814163,200
45,7.1,0.5640458746038413,200
46,7.62,0.5185607359089724,200
47,7.06,0.5535810681295239,200
48,7.46,0.5476846374669346,200
49,7.78,0.5492995200618367,200
50,7.4,0.48608388195358415,200
51,8.58,0.5502896608563906,200
52,9.04,0.5202807423269349,200
53,8.98,0.5360832110280908,200
54,8.24,0.5601630833690192,200
55,8.6,0.5304612502332325,200
56,8.76,0.5729284127305079,200
57,8.48,0.5974246343187548,200
58,9.34,0.6152955998493904,200
59,8.48,0.6140413594353408,200
60,9.6,0.5707289532554112,200
61,9.38,0.5236589900736152,200
62,9.38,0.48024410816519364,200
63,10.06,0.5067644488755331,200
64,10.34,0.5206806869353988,200
65,8.62,0.4808390624826636,200
66,9.36,0.48963842505729394,200
67,9.5,0.5000844111484638,200
68,8.04,0.4856323974851875,200
69,8.56,0.48815403185733475,200
70,9.48,0.4935154410698668,200
71,7.84,0.49407279047536173,200
72,8.96,0.48213025503990825,200
73,10.4,0.5071592395671537,200
74,8.38,0.5132442604820686,200
75,8.78,0.5292339183698895,200
76,7.64,0.5414149125661748,200
77,8.6,0.51672379050151,200
78,8.44,0.5017554011784843,200
79,8.9,0.5014119068573816,200
80,9.02,0.5142231787301256,200
81,8.0,0.49899671994766515,200
82,9.34,0.5051763479340144,200
83,9.28,0.49053882692473066,200
84,9.52,0.4786145807224683,200
85,9.32,0.4701880996587897,200
86,9.78,0.46638517613512404,200
87,11.1,0.4957557924534366,200
88,11.78,0.4731129490598932,200
89,10.5,0.512410541889685,200
90,12.38,0.5110699289216909,200
91,11.84,0.4964634146543525,200
92,12.68,0.5135250302877449,200
93,12.6,0.5157307731315491,200
94,11.38,0.5512378952340213,200
95,10.7,0.5265374207882193,200
96,10.82,0.5570474633173476,200
97,11.14,0.537978947095195,200
98,10.16,0.5661881308969479,200
99,10.44,0.5903366366026644,200
100,11.92,0.5828534308816198,200
101,9.28,0.5650631176460762,200
102,9.48,0.5449268139548886,200
103,10.18,0.6002510094196327,200
104,10.52,0.5979973190043002,200
105,8.94,0.6066767045273554,200
106,9.12,0.5607061263879296,200
107,8.84,0.5745517440301487,200
108,9.04,0.5526824981981325,200
109,8.66,0.5787600339276977,200
110,10.52,0.55767606575328,200
111,9.82,0.530537549999322,200
112,10.44,0.5064883223641621,200
113,10.34,0.460888774111217,200
114,9.88,0.5067682391619671,200
115,10.14,0.5001664204035787,200
116,11.06,0.4931814545108104,200
117,10.7,0.5249458925133097,200
118,10.62,0.5027917574758118,200
119,10.36,0.5000835549866508,200
120,10.66,0.5042456515514548,200
121,10.54,0.5222328125995017,200
122,10.7,0.510482354997091,200
123,10.32,0.5607521611356736,200
124,10.36,0.5530122126715467,200
125,9.68,0.5412628831003883,200
126,10.68,0.552775135903378,200
127,10.08,0.5342480251409135,200
128,10.32,0.5223481118217759,200
129,10.32,0.5524291971369292,200
130,11.48,0.5292030335316312,200
131,10.98,0.491259695926612,200
132,14.46,0.49269447245228576,200
133,13.52,0.5268809498861036,200
134,14.24,0.5049817496217752,200
