======================================================================
RESOURCE PROFILING REPORT
======================================================================

MEMORY USAGE:
  Initial: 0.0 MB
  Current: 26.5 MB
  Peak: 37.4 MB
  Average: 8.1 MB
  Growth: 4143.4%
  Trend: SLOW_CREEP
  Slope: 0.0014 MB/gen

RUNTIME:
  Total: 5458.0 seconds (91.0 minutes)

======================================================================
RECOMMENDATION
======================================================================

DECISION: **DEBUG_AND_OPTIMIZE**
  Memory grew 4143.4% during run.
  Potential memory leak detected. Recommend:
  1. Review code for memory leaks
  2. Reduce population to 50
  3. Re-run diagnostic


DETAILED SAMPLES:
Generation,Memory_MB
500,0.62
1000,0.98
1500,1.33
2000,1.72
2500,2.23
3000,2.58
3500,2.89
4000,3.06
4500,3.56
5000,3.90
5500,4.25
6000,4.47
6500,4.99
7000,5.33
7500,5.64
8000,5.89
8500,6.37
9000,6.69
9500,7.11
10000,7.41
10500,8.93
11000,10.02
11500,11.32
12000,12.25
12500,15.38
13000,16.78
13500,17.98
14000,17.99
14500,24.25
15000,26.49
