generation,v4_nodes,v4_action,v4_p_m,v4_p_s,v4_p_i,v5_nodes,v5_action,v5_p_m,v5_p_s,v5_p_i
0,12,I,0.1,0.1,0.8,12,I,0.1,0.1,0.8
1,12,M,0.85,0.118,0.031,12,M,0.863,0.051,0.086
2,12,M,0.874,0.021,0.105,12,M,0.835,0.039,0.126
3,12,M,0.832,0.038,0.13,12,M,0.801,0.086,0.113
4,12,M,0.875,0.059,0.066,12,M,0.855,0.056,0.089
5,12,M,0.84,0.047,0.113,12,M,0.827,0.061,0.113
6,12,S,0.084,0.871,0.045,12,S,0.125,0.836,0.039
7,12,M,0.839,0.126,0.036,12,M,0.838,0.121,0.04
8,12,S,0.045,0.84,0.115,12,S,0.032,0.871,0.097
9,12,M,0.79,0.115,0.095,12,M,0.811,0.084,0.105
10,12,I,0.097,0.084,0.819,12,I,0.137,0.116,0.747
11,12,M,0.89,0.036,0.074,12,I,0.058,0.135,0.807
12,12,M,0.811,0.119,0.07,12,I,0.034,0.029,0.937
13,12,M,0.87,0.078,0.052,12,M,0.803,0.091,0.107
14,12,M,0.809,0.07,0.121,12,M,0.884,0.088,0.027
15,12,M,0.805,0.075,0.121,12,M,0.86,0.109,0.031
16,12,M,0.9,0.07,0.03,12,M,0.845,0.05,0.105
17,12,M,0.806,0.116,0.078,12,M,0.885,0.028,0.087
18,12,S,0.103,0.787,0.11,12,S,0.083,0.887,0.03
19,12,M,0.871,0.036,0.093,12,M,0.86,0.118,0.022
20,12,M,0.914,0.032,0.054,12,M,0.878,0.073,0.049
21,12,M,0.917,0.043,0.04,12,M,0.869,0.049,0.083
22,12,M,0.892,0.035,0.074,12,M,0.806,0.104,0.09
23,12,M,0.824,0.105,0.071,12,M,0.919,0.042,0.039
24,12,M,0.791,0.099,0.11,12,M,0.855,0.035,0.111
25,13,M,0.784,0.111,0.105,12,S,0.092,0.809,0.099
26,12,S,0.05,0.903,0.046,12,S,0.108,0.843,0.049
27,12,S,0.085,0.889,0.026,13,M,0.847,0.093,0.06
28,12,M,0.824,0.093,0.082,13,M,0.896,0.04,0.064
29,13,M,0.862,0.069,0.068,12,M,0.826,0.061,0.113
30,13,S,0.051,0.868,0.081,12,S,0.074,0.88,0.046
31,13,M,0.846,0.053,0.101,12,M,0.895,0.054,0.051
32,12,M,0.825,0.099,0.076,12,M,0.881,0.021,0.098
33,12,M,0.835,0.102,0.064,12,M,0.818,0.109,0.073
34,13,M,0.848,0.039,0.114,12,M,0.849,0.103,0.047
35,12,M,0.842,0.126,0.032,12,M,0.911,0.041,0.048
36,12,M,0.865,0.113,0.022,12,M,0.807,0.072,0.121
37,12,M,0.904,0.048,0.048,13,M,0.847,0.058,0.095
38,12,M,0.873,0.096,0.032,12,M,0.901,0.045,0.054
39,12,I,0.058,0.036,0.906,12,I,0.129,0.059,0.812
40,13,M,0.9,0.068,0.032,12,M,0.889,0.049,0.062
41,13,M,0.793,0.089,0.118,12,M,0.876,0.029,0.095
42,12,M,0.895,0.026,0.079,12,M,0.881,0.095,0.024
43,13,S,0.04,0.87,0.09,12,S,0.107,0.829,0.064
44,13,M,0.824,0.083,0.093,12,M,0.864,0.059,0.077
45,12,S,0.043,0.89,0.067,12,S,0.048,0.854,0.099
46,12,M,0.874,0.073,0.053,12,M,0.863,0.063,0.074
47,12,M,0.885,0.044,0.072,12,I,0.145,0.089,0.765
48,12,M,0.813,0.114,0.073,12,M,0.833,0.102,0.066
49,13,S,0.115,0.783,0.103,12,S,0.035,0.933,0.032
50,13,M,0.812,0.086,0.102,12,M,0.859,0.054,0.086
51,13,S,0.103,0.853,0.045,12,S,0.024,0.884,0.093
52,13,M,0.829,0.095,0.076,13,M,0.908,0.039,0.053
53,13,M,0.818,0.116,0.066,12,M,0.883,0.066,0.052
54,13,M,0.788,0.112,0.1,12,M,0.784,0.125,0.091
55,12,M,0.831,0.082,0.087,13,M,0.885,0.058,0.057
56,13,M,0.907,0.036,0.057,12,I,0.121,0.132,0.747
57,13,M,0.894,0.076,0.03,12,M,0.836,0.051,0.113
58,12,M,0.856,0.028,0.116,13,M,0.856,0.034,0.11
59,13,I,0.08,0.042,0.878,12,M,0.934,0.037,0.029
60,13,M,0.801,0.079,0.12,12,M,0.863,0.079,0.058
61,13,S,0.111,0.835,0.054,12,S,0.102,0.789,0.109
62,13,M,0.824,0.11,0.066,12,M,0.844,0.094,0.062
63,13,S,0.03,0.875,0.095,12,S,0.113,0.781,0.106
64,13,M,0.853,0.029,0.118,13,M,0.919,0.036,0.044
65,13,M,0.831,0.069,0.1,12,M,0.857,0.083,0.06
66,13,M,0.811,0.118,0.071,13,M,0.863,0.026,0.11
67,13,M,0.851,0.115,0.034,13,M,0.835,0.059,0.107
68,13,I,0.099,0.108,0.792,12,I,0.055,0.128,0.817
69,13,M,0.853,0.092,0.055,13,M,0.861,0.106,0.033
70,13,S,0.045,0.849,0.106,12,S,0.108,0.794,0.099
71,13,M,0.87,0.107,0.023,12,I,0.075,0.1,0.824
72,14,M,0.799,0.082,0.12,14,M,0.781,0.105,0.114
73,13,S,0.072,0.872,0.056,12,S,0.088,0.834,0.078
74,14,M,0.876,0.049,0.076,13,M,0.834,0.112,0.054
75,13,I,0.034,0.048,0.919,12,I,0.03,0.064,0.906
76,13,M,0.807,0.096,0.097,13,M,0.773,0.113,0.114
77,14,M,0.888,0.065,0.047,12,M,0.826,0.075,0.098
