generation,median,p25,p75,baseline
50,0.54,0.43000000000000005,0.55,fixed_constraints
100,0.54,0.47000000000000003,0.5900000000000001,fixed_constraints
150,0.54,0.47000000000000003,0.5900000000000001,fixed_constraints
200,0.5,0.4,0.6,fixed_constraints
250,0.54,0.53,0.63,fixed_constraints
300,0.42,0.39,0.44,fixed_constraints
350,0.5,0.41000000000000003,0.65,fixed_constraints
400,0.58,0.52,0.63,fixed_constraints
450,0.46,0.44,0.52,fixed_constraints
500,0.32,0.27,0.44999999999999996,fixed_constraints
550,0.64,0.49,0.66,fixed_constraints
600,0.44,0.43,0.45,fixed_constraints
650,0.54,0.42000000000000004,0.5700000000000001,fixed_constraints
700,0.5,0.43,0.51,fixed_constraints
750,0.52,0.47,0.53,fixed_constraints
800,0.44,0.41000000000000003,0.49,fixed_constraints
850,0.52,0.39,0.56,fixed_constraints
900,0.48,0.44999999999999996,0.54,fixed_constraints
950,0.5,0.45999999999999996,0.61,fixed_constraints
1000,0.34,0.33,0.56,fixed_constraints
1050,0.38,0.37,0.44,fixed_constraints
1100,0.5,0.45999999999999996,0.54,fixed_constraints
1150,0.34,0.33,0.47,fixed_constraints
1200,0.46,0.43000000000000005,0.54,fixed_constraints
1250,0.54,0.45,0.56,fixed_constraints
1300,0.44,0.36,0.5,fixed_constraints
1350,0.5,0.47,0.54,fixed_constraints
1400,0.56,0.5,0.6200000000000001,fixed_constraints
1450,0.66,0.62,0.67,fixed_constraints
1500,0.36,0.35,0.45,fixed_constraints
1550,0.54,0.51,0.54,fixed_constraints
1600,0.46,0.41000000000000003,0.49,fixed_constraints
1650,0.58,0.53,0.59,fixed_constraints
1700,0.4,0.38,0.5,fixed_constraints
1750,0.54,0.53,0.5700000000000001,fixed_constraints
1800,0.46,0.31,0.49,fixed_constraints
1850,0.62,0.53,0.6599999999999999,fixed_constraints
1900,0.52,0.49,0.53,fixed_constraints
1950,0.4,0.39,0.45,fixed_constraints
2000,0.42,0.38,0.51,fixed_constraints
2050,0.5,0.32,0.55,fixed_constraints
2100,0.56,0.55,0.6200000000000001,fixed_constraints
2150,0.5,0.48,0.6,fixed_constraints
2200,0.58,0.49,0.6399999999999999,fixed_constraints
2250,0.44,0.4,0.5,fixed_constraints
2300,0.5,0.45,0.53,fixed_constraints
2350,0.34,0.33,0.52,fixed_constraints
2400,0.52,0.5,0.52,fixed_constraints
2450,0.66,0.48,0.67,fixed_constraints
2500,0.62,0.54,0.6599999999999999,fixed_constraints
2550,0.44,0.42000000000000004,0.54,fixed_constraints
2600,0.54,0.45,0.54,fixed_constraints
2650,0.48,0.45999999999999996,0.5700000000000001,fixed_constraints
2700,0.52,0.42000000000000004,0.6000000000000001,fixed_constraints
2750,0.5,0.45999999999999996,0.53,fixed_constraints
2800,0.56,0.43000000000000005,0.5900000000000001,fixed_constraints
2850,0.62,0.53,0.65,fixed_constraints
2900,0.54,0.51,0.64,fixed_constraints
2950,0.42,0.41000000000000003,0.43,fixed_constraints
3000,0.48,0.45999999999999996,0.5,fixed_constraints
3050,0.54,0.5,0.55,fixed_constraints
3100,0.5,0.5,0.56,fixed_constraints
3150,0.4,0.35,0.42000000000000004,fixed_constraints
3200,0.46,0.42000000000000004,0.47,fixed_constraints
3250,0.44,0.41000000000000003,0.49,fixed_constraints
3300,0.52,0.47,0.53,fixed_constraints
3350,0.44,0.43,0.5,fixed_constraints
3400,0.38,0.36,0.5800000000000001,fixed_constraints
3450,0.48,0.36,0.59,fixed_constraints
3500,0.36,0.29,0.45,fixed_constraints
3550,0.48,0.44999999999999996,0.53,fixed_constraints
3600,0.62,0.54,0.62,fixed_constraints
3650,0.46,0.43000000000000005,0.48,fixed_constraints
3700,0.32,0.30000000000000004,0.45999999999999996,fixed_constraints
3750,0.48,0.37,0.53,fixed_constraints
3800,0.34,0.30000000000000004,0.37,fixed_constraints
3850,0.42,0.41000000000000003,0.5,fixed_constraints
3900,0.44,0.38,0.55,fixed_constraints
3950,0.4,0.35,0.48000000000000004,fixed_constraints
4000,0.32,0.27,0.36,fixed_constraints
4050,0.44,0.4,0.45,fixed_constraints
4100,0.4,0.38,0.53,fixed_constraints
4150,0.36,0.32,0.4,fixed_constraints
4200,0.38,0.38,0.55,fixed_constraints
4250,0.42,0.32999999999999996,0.42,fixed_constraints
4300,0.7,0.53,0.7,fixed_constraints
4350,0.54,0.51,0.64,fixed_constraints
4400,0.68,0.56,0.69,fixed_constraints
4450,0.48,0.44,0.54,fixed_constraints
4500,0.3,0.28,0.35,fixed_constraints
4550,0.46,0.45,0.55,fixed_constraints
4600,0.34,0.34,0.52,fixed_constraints
4650,0.4,0.35,0.41000000000000003,fixed_constraints
4700,0.7,0.54,0.72,fixed_constraints
4750,0.44,0.42000000000000004,0.58,fixed_constraints
4800,0.42,0.37,0.43,fixed_constraints
4850,0.48,0.48,0.6,fixed_constraints
4900,0.34,0.33,0.5,fixed_constraints
4950,0.4,0.38,0.46,fixed_constraints
5000,0.6,0.59,0.6499999999999999,fixed_constraints
5050,0.38,0.33,0.52,fixed_constraints
5100,0.62,0.49,0.64,fixed_constraints
5150,0.48,0.45999999999999996,0.5700000000000001,fixed_constraints
5200,0.46,0.42000000000000004,0.46,fixed_constraints
5250,0.4,0.33,0.56,fixed_constraints
5300,0.34,0.31000000000000005,0.43000000000000005,fixed_constraints
5350,0.6,0.52,0.6,fixed_constraints
5400,0.44,0.41000000000000003,0.54,fixed_constraints
5450,0.4,0.37,0.45,fixed_constraints
5500,0.5,0.45999999999999996,0.6599999999999999,fixed_constraints
5550,0.52,0.45,0.55,fixed_constraints
5600,0.62,0.61,0.64,fixed_constraints
5650,0.42,0.4,0.45999999999999996,fixed_constraints
5700,0.4,0.38,0.48000000000000004,fixed_constraints
5750,0.54,0.47000000000000003,0.5900000000000001,fixed_constraints
5800,0.58,0.38,0.59,fixed_constraints
