generation,gac_genome_mean,gac_genome_median,gac_linkage_mean,epc_lz_mean,epc_lz_p90,epc_diversity_mean,nnd_mean,nnd_front_size
500,100.46,100.00,100.16,0.379,0.384,0.060,0.000,0
1000,157.21,157.00,156.88,0.345,0.346,0.038,0.000,46
1500,194.46,194.00,194.14,0.332,0.335,0.031,0.000,0
2000,230.38,230.00,230.07,0.322,0.323,0.026,13.133,35
2500,265.57,266.00,265.35,0.315,0.317,0.023,0.000,0
3000,297.28,297.00,297.09,0.308,0.310,0.020,0.880,41
3500,329.85,330.00,329.60,0.303,0.304,0.018,0.000,0
4000,359.80,360.00,359.62,0.297,0.298,0.017,15.328,51
4500,385.11,385.00,384.87,0.293,0.294,0.016,0.000,0
5000,413.48,413.00,413.22,0.289,0.290,0.015,10.523,39
