======================================================================
RESOURCE PROFILING REPORT
======================================================================

MEMORY USAGE:
  Initial: 0.0 MB
  Current: 7.9 MB
  Peak: 9.1 MB
  Average: 4.4 MB
  Growth: 1340.4%
  Trend: FLAT
  Slope: 0.0007 MB/gen

RUNTIME:
  Total: 13400.7 seconds (223.3 minutes)

======================================================================
RECOMMENDATION
======================================================================

DECISION: **PROCEED_TO_200K**
  System is stable. Memory usage is flat and reasonable.
  Safe to run full 200,000-generation experiment.


DETAILED SAMPLES:
Generation,Memory_MB
100,0.55
200,0.63
300,0.72
400,0.78
500,0.86
600,0.92
700,1.02
800,1.09
900,1.13
1000,1.21
1100,1.50
1200,1.58
1300,1.69
1400,1.76
1500,1.86
1600,1.92
1700,1.99
1800,2.06
1900,2.11
2000,1.95
2100,2.28
2200,2.35
2300,2.40
2400,2.47
2500,2.55
2600,2.64
2700,2.75
2800,2.79
2900,2.86
3000,2.68
3100,3.03
3200,3.10
3300,3.15
3400,3.23
3500,3.34
3600,3.41
3700,3.47
3800,3.58
3900,3.61
4000,3.41
4100,3.72
4200,3.83
4300,3.91
4400,3.96
4500,4.01
4600,4.05
4700,4.11
4800,4.17
4900,4.35
5000,4.13
5100,4.48
5200,4.49
5300,4.55
5400,4.63
5500,4.72
5600,4.78
5700,4.86
5800,4.91
5900,4.96
6000,4.73
6100,5.03
6200,5.13
6300,5.21
6400,5.33
6500,5.39
6600,5.39
6700,5.49
6800,5.60
6900,5.71
7000,5.49
7100,5.86
7200,5.93
7300,6.02
7400,6.06
7500,6.20
7600,6.31
7700,6.33
7800,6.43
7900,6.51
8000,6.26
8100,6.68
8200,6.74
8300,6.75
8400,6.89
8500,6.91
8600,7.00
8700,7.10
8800,7.03
8900,7.09
9000,6.82
9100,7.24
9200,7.35
9300,7.40
9400,7.49
9500,7.63
9600,7.74
9700,7.85
9800,7.94
9900,8.05
10000,7.86
