generation,median,p25,p75,baseline
50,2.64,2.2587755102040816,2.85,novelty_search
100,2.64,2.3812244897959185,2.861666666666667,novelty_search
150,2.0625,2.01125,2.382313829787234,novelty_search
200,2.673469387755102,2.3775510204081636,2.979591836734694,novelty_search
250,2.306122448979592,2.2988945578231292,2.696539485359361,novelty_search
300,2.62,2.54,2.758979591836735,novelty_search
350,2.26,2.21,2.4299999999999997,novelty_search
400,1.7,1.54,1.9899999999999998,novelty_search
450,2.88,2.44,3.0985365853658537,novelty_search
500,2.306122448979592,2.2830612244897956,2.733061224489796,novelty_search
550,2.1666666666666665,2.083333333333333,2.3180272108843534,novelty_search
600,2.533333333333333,2.2770833333333336,2.745390070921986,novelty_search
650,2.3,1.9691489361702126,2.38,novelty_search
700,1.74,1.7,2.0054166666666666,novelty_search
750,2.3,2.17,2.3099999999999996,novelty_search
800,2.08,1.6522448979591837,2.4991836734693877,novelty_search
850,2.4166666666666665,2.368333333333333,2.4883333333333333,novelty_search
900,2.6041666666666665,2.3978280141843973,2.9166666666666665,novelty_search
950,2.723404255319149,2.5017021276595743,2.8073543015726177,novelty_search
1000,2.32,1.88,2.7195238095238095,novelty_search
1050,2.32,2.06,2.489787234042553,novelty_search
1100,2.4285714285714284,2.3242857142857143,2.4387755102040813,novelty_search
1150,2.3,2.2020833333333334,2.926595744680851,novelty_search
1200,2.02,1.83,2.34,novelty_search
1250,2.56,2.4699999999999998,2.6445833333333333,novelty_search
1300,2.36,2.343265306122449,2.531063829787234,novelty_search
1350,2.04,2.030204081632653,2.2644444444444445,novelty_search
1400,2.44,2.3424489795918366,2.45469387755102,novelty_search
1450,2.72,2.4800000000000004,2.72,novelty_search
1500,2.375,2.0833333333333335,2.653409090909091,novelty_search
1550,2.08,1.9300000000000002,2.3591489361702127,novelty_search
1600,2.2083333333333335,1.9041666666666668,2.571557971014493,novelty_search
1650,2.8,2.6799999999999997,3.247826086956522,novelty_search
1700,2.28,2.26,2.5313043478260866,novelty_search
1750,2.8,2.443478260869565,2.867391304347826,novelty_search
1800,2.28,2.07,2.324782608695652,novelty_search
1850,2.0816326530612246,1.8280503690838037,2.3845663265306123,novelty_search
1900,2.5208333333333335,2.3604166666666666,2.627763605442177,novelty_search
1950,2.7142857142857144,2.097142857142857,2.87888198757764,novelty_search
2000,2.5,1.99,2.645833333333333,novelty_search
2050,2.75,2.645,2.8125,novelty_search
2100,2.8181818181818183,2.5290909090909093,2.897979797979798,novelty_search
2150,2.4545454545454546,2.167272727272727,2.5710227272727275,novelty_search
2200,2.76,2.4299999999999997,2.827916666666667,novelty_search
2250,2.2653061224489797,2.1964828484585324,2.4387755102040813,novelty_search
2300,2.061224489795918,2.040612244897959,2.083803734259661,novelty_search
2350,2.409090909090909,2.224953617810761,2.4545454545454546,novelty_search
