gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.0,0.0,40,0.4325,14
2,0.0,0.0,40,0.445,14
3,0.0,0.0,40,0.4325,15
4,0.0,0.0,40,0.43499999999999994,15
5,0.0,0.0,40,0.42750000000000005,17
6,0.0,0.0,40,0.44499999999999995,19
7,0.0,0.0,40,0.4375,21
8,0.0,0.0,40,0.44000000000000006,21
9,0.0,0.0,40,0.425,21
10,0.0,0.0,40,0.45999999999999996,21
11,0.0,0.0,40,0.445,21
12,0.0,0.0,40,0.45499999999999996,21
13,0.0,0.0,40,0.4375,24
14,0.0,0.0,40,0.4375,24
15,0.0,0.0,40,0.4525,24
16,0.0,0.0,40,0.475,24
17,0.0,0.0,40,0.4575,24
18,0.0,0.0,40,0.43249999999999994,24
19,0.0,0.0,40,0.4625,25
20,0.0,0.0,40,0.43,25
21,0.0,0.0,40,0.4425,26
22,0.0,0.0,40,0.45,26
23,0.0,0.0,40,0.45499999999999996,26
24,0.0,0.0,40,0.44000000000000006,27
25,0.0,0.0,40,0.4375,27
26,0.0,0.0,40,0.465,27
27,0.0,0.0,40,0.43000000000000005,27
28,0.0,0.0,40,0.44749999999999995,27
29,0.0,0.0,40,0.465,27
30,0.0,0.0,40,0.45,27
31,0.0,0.0,40,0.44749999999999995,28
32,0.0,0.0,40,0.43000000000000005,29
33,0.0,0.0,40,0.45999999999999996,30
34,0.0,0.0,40,0.44750000000000006,31
35,0.0,0.0,40,0.44499999999999995,31
36,0.0,0.0,40,0.44749999999999995,33
37,0.0,0.0,40,0.45499999999999996,34
38,0.0,0.0,40,0.44000000000000006,34
39,0.0,0.0,40,0.42750000000000005,34
40,0.0,0.0,40,0.43499999999999994,34
41,0.0,0.0,40,0.44749999999999995,34
42,0.0,0.0,40,0.43499999999999994,34
43,0.0,0.0,40,0.4600000000000001,34
44,0.0,0.0,40,0.43499999999999994,34
45,0.0,0.0,40,0.43499999999999994,34
46,0.0,0.0,40,0.43,34
47,0.0,0.0,40,0.43499999999999994,34
48,0.0,0.0,40,0.44000000000000006,34
49,0.0,0.0,40,0.43,34
50,0.0,0.0,40,0.47000000000000003,34
51,0.0,0.0,40,0.4625,34
52,0.0,0.0,40,0.43499999999999994,34
53,0.0,0.0,40,0.43000000000000005,34
54,0.0,0.0,40,0.42750000000000005,35
55,0.0,0.0,40,0.4425,36
56,0.0,0.0,40,0.4425,36
57,0.0,0.0,40,0.4375,36
58,0.0,0.0,40,0.4625,36
59,0.0,0.0,40,0.41500000000000004,36
60,0.0,0.0,40,0.4625,36
61,0.0,0.0,40,0.4525,38
62,0.0,0.0,40,0.4525,38
63,0.0,0.0,40,0.41500000000000004,38
64,0.0,0.0,40,0.4025,38
65,0.0,0.0,40,0.45499999999999996,38
66,0.0,0.0,40,0.44749999999999995,39
67,0.0,0.0,40,0.43499999999999994,39
68,0.0,0.0,40,0.44749999999999995,40
69,0.0,0.0,40,0.4525,40
70,0.0,0.0,40,0.425,40
71,0.0,0.0,40,0.45499999999999996,40
72,0.0,0.0,40,0.45999999999999996,40
73,0.0,0.0,40,0.445,41
74,0.0,0.0,40,0.4575,41
75,0.0,0.0,40,0.4525,41
76,0.0,0.0,40,0.4325,41
77,0.0,0.0,40,0.425,41
78,0.0,0.0,40,0.4425,41
79,0.0,0.0,40,0.4625,42
80,0.0,0.0,40,0.4725,42
81,0.0,0.0,40,0.43000000000000005,42
82,0.0,0.0,40,0.4125,42
83,0.0,0.0,40,0.43499999999999994,42
84,0.0,0.0,40,0.4125,42
85,0.0,0.0,40,0.42000000000000004,42
86,0.0,0.0,40,0.44749999999999995,42
87,0.0,0.0,40,0.4575,42
88,0.0,0.0,40,0.4375,42
89,0.0,0.0,40,0.43249999999999994,43
90,0.0,0.0,40,0.44000000000000006,43
91,0.0,0.0,40,0.4375,43
92,0.0,0.0,40,0.41,44
93,0.0,0.0,40,0.43,44
94,0.0,0.0,40,0.4325,44
95,0.0,0.0,40,0.42750000000000005,44
96,0.0,0.0,40,0.425,44
97,0.0,0.0,40,0.445,45
98,0.0,0.0,40,0.4525,45
99,0.0,0.0,40,0.45,45
100,0.0,0.0,40,0.44749999999999995,45
101,0.0,0.0,40,0.45,45
102,0.0,0.0,40,0.44749999999999995,45
103,0.0,0.0,40,0.45,45
104,0.0,0.0,40,0.4574999999999999,45
105,0.0,0.0,40,0.45,45
106,0.0,0.0,40,0.4525,46
107,0.0,0.0,40,0.44000000000000006,46
108,0.0,0.0,40,0.4725,46
109,0.0,0.0,40,0.445,46
110,0.0,0.0,40,0.4375,46
111,0.0,0.0,40,0.4425,46
112,0.0,0.0,40,0.45,46
113,0.0,0.0,40,0.4375,46
114,0.0,0.0,40,0.4175000000000001,47
115,0.0,0.0,40,0.45499999999999996,47
116,0.0,0.0,40,0.43499999999999994,47
117,0.0,0.0,40,0.4425,47
118,0.0,0.0,40,0.45,47
119,0.0,0.0,40,0.4525,47
120,0.0,0.0,40,0.48,47
121,0.0,0.0,40,0.465,47
122,0.0,0.0,40,0.4575,47
123,0.0,0.0,40,0.4575,47
124,0.0,0.0,40,0.4574999999999999,47
125,0.0,0.0,40,0.43499999999999994,47
126,0.0,0.0,40,0.4325,47
127,0.0,0.0,40,0.4425,47
128,0.0,0.0,40,0.42000000000000004,47
129,0.0,0.0,40,0.4375,47
130,0.0,0.0,40,0.44250000000000006,47
131,0.0,0.0,40,0.4225,47
132,0.0,0.0,40,0.4625,47
133,0.0,0.0,40,0.45499999999999996,47
134,0.0,0.0,40,0.44749999999999995,47
135,0.0,0.0,40,0.43499999999999994,47
136,0.0,0.0,40,0.45499999999999996,47
137,0.0,0.0,40,0.44000000000000006,47
138,0.0,0.0,40,0.445,47
139,0.0,0.0,40,0.44000000000000006,47
140,0.0,0.0,40,0.4149999999999999,47
141,0.0,0.0,40,0.44250000000000006,48
142,0.0,0.0,40,0.4325,48
143,0.0,0.0,40,0.43499999999999994,48
144,0.0,0.0,40,0.45999999999999996,48
145,0.0,0.0,40,0.4375,48
146,0.0,0.0,40,0.445,48
147,0.0,0.0,40,0.45499999999999996,48
148,0.0,0.0,40,0.43249999999999994,48
149,0.0,0.0,40,0.43499999999999994,48
150,0.0,0.0,40,0.44749999999999995,48
151,0.0,0.0,40,0.4425,48
152,0.0,0.0,40,0.445,48
153,0.0,0.0,40,0.40499999999999997,48
154,0.0,0.0,40,0.44499999999999995,48
155,0.0,0.0,40,0.43499999999999994,48
156,0.0,0.0,40,0.44749999999999995,48
157,0.0,0.0,40,0.4725,48
158,0.0,0.0,40,0.44499999999999995,48
159,0.0,0.0,40,0.4525,48
160,0.0,0.0,40,0.45499999999999996,48
161,0.0,0.0,40,0.45,48
162,0.0,0.0,40,0.4725,49
163,0.0,0.0,40,0.42000000000000004,49
164,0.0,0.0,40,0.43499999999999994,49
165,0.0,0.0,40,0.4425,49
166,0.0,0.0,40,0.42750000000000005,49
167,0.0,0.0,40,0.44749999999999995,49
168,0.0,0.0,40,0.42750000000000005,49
169,0.0,0.0,40,0.465,49
170,0.0,0.0,40,0.4074999999999999,49
171,0.0,0.0,40,0.4375,49
172,0.0,0.0,40,0.47000000000000003,49
173,0.0,0.0,40,0.43,49
174,0.0,0.0,40,0.4125,49
175,0.0,0.0,40,0.4175000000000001,49
176,0.0,0.0,40,0.44749999999999995,49
177,0.0,0.0,40,0.4375,49
178,0.0,0.0,40,0.44000000000000006,49
179,0.0,0.0,40,0.43499999999999994,49
180,0.0,0.0,40,0.4574999999999999,49
181,0.0,0.0,40,0.41500000000000004,49
182,0.0,0.0,40,0.44250000000000006,49
183,0.0,0.0,40,0.4375,49
184,0.0,0.0,40,0.4375,49
185,0.0,0.0,40,0.4325,49
186,0.0,0.0,40,0.4575,49
187,0.0,0.0,40,0.4425,49
188,0.0,0.0,40,0.425,49
189,0.0,0.0,40,0.46749999999999997,49
190,0.0,0.0,40,0.44000000000000006,50
191,0.0,0.0,40,0.47250000000000003,50
192,0.0,0.0,40,0.42750000000000005,50
193,0.0,0.0,40,0.4699999999999999,50
194,0.0,0.0,40,0.40750000000000003,50
195,0.0,0.0,40,0.425,50
196,0.0,0.0,40,0.4625,50
197,0.0,0.0,40,0.43,50
198,0.0,0.0,40,0.44000000000000006,50
199,0.0,0.0,40,0.44000000000000006,50
200,0.0,0.0,40,0.45249999999999996,50
201,0.0,0.0,40,0.4375,50
202,0.0,0.0,40,0.43249999999999994,51
203,0.0,0.0,40,0.44000000000000006,51
204,0.0,0.0,40,0.4625,51
205,0.0,0.0,40,0.44499999999999995,51
206,0.0,0.0,40,0.4125,51
207,0.0,0.0,40,0.465,51
208,0.0,0.0,40,0.4625,51
209,0.0,0.0,40,0.4575,52
210,0.0,0.0,40,0.4425,52
211,0.0,0.0,40,0.45499999999999996,52
212,0.0,0.0,40,0.45,52
213,0.0,0.0,40,0.44000000000000006,52
214,0.0,0.0,40,0.44749999999999995,52
215,0.0,0.0,40,0.42750000000000005,52
216,0.0,0.0,40,0.43249999999999994,52
217,0.0,0.0,40,0.48249999999999993,52
218,0.0,0.0,40,0.4225,52
219,0.0,0.0,40,0.4375,52
220,0.0,0.0,40,0.465,52
221,0.0,0.0,40,0.45499999999999996,52
222,0.0,0.0,40,0.4575,52
223,0.0,0.0,40,0.4574999999999999,52
224,0.0,0.0,40,0.4375,52
225,0.0,0.0,40,0.44749999999999995,52
226,0.0,0.0,40,0.44499999999999995,52
227,0.0,0.0,40,0.4425,52
228,0.0,0.0,40,0.45499999999999996,52
229,0.0,0.0,40,0.45999999999999996,53
230,0.0,0.0,40,0.40499999999999997,53
231,0.0,0.0,40,0.4525,53
232,0.0,0.0,40,0.46749999999999997,53
233,0.0,0.0,40,0.4425,54
234,0.0,0.0,40,0.4425,54
235,0.0,0.0,40,0.4125,54
236,0.0,0.0,40,0.45500000000000007,54
237,0.0,0.0,40,0.4625,54
238,0.0,0.0,40,0.4625,54
239,0.0,0.0,40,0.45500000000000007,54
240,0.0,0.0,40,0.44749999999999995,54
241,0.0,0.0,40,0.4575,54
242,0.0,0.0,40,0.4525,54
243,0.0,0.0,40,0.4325,54
244,0.0,0.0,40,0.4375,54
245,0.0,0.0,40,0.4425,54
246,0.0,0.0,40,0.445,54
247,0.0,0.0,40,0.44499999999999995,54
248,0.0,0.0,40,0.44749999999999995,54
249,0.0,0.0,40,0.45999999999999996,54
250,0.0,0.0,40,0.4425,54
251,0.0,0.0,40,0.45999999999999996,54
252,0.0,0.0,40,0.4325,54
253,0.0,0.0,40,0.45249999999999996,54
254,0.0,0.0,40,0.4325,54
255,0.0,0.0,40,0.4625,54
256,0.0,0.0,40,0.42750000000000005,54
257,0.0,0.0,40,0.42750000000000005,54
258,0.0,0.0,40,0.425,54
259,0.0,0.0,40,0.4225,54
260,0.0,0.0,40,0.45500000000000007,54
261,0.0,0.0,40,0.44749999999999995,54
262,0.0,0.0,40,0.42750000000000005,54
263,0.0,0.0,40,0.43999999999999995,54
264,0.0,0.0,40,0.45499999999999996,54
265,0.0,0.0,40,0.44000000000000006,54
266,0.0,0.0,40,0.43,54
267,0.0,0.0,40,0.4375,54
268,0.0,0.0,40,0.4375,54
269,0.0,0.0,40,0.4575,54
270,0.0,0.0,40,0.4325,54
271,0.0,0.0,40,0.425,54
272,0.0,0.0,40,0.4425,54
273,0.0,0.0,40,0.425,54
274,0.0,0.0,40,0.48250000000000004,55
275,0.0,0.0,40,0.4574999999999999,55
276,0.0,0.0,40,0.44749999999999995,55
277,0.0,0.0,40,0.41500000000000004,55
278,0.0,0.0,40,0.4574999999999999,55
279,0.0,0.0,40,0.44250000000000006,55
280,0.0,0.0,40,0.43499999999999994,55
281,0.0,0.0,40,0.4525,55
282,0.0,0.0,40,0.445,55
283,0.0,0.0,40,0.4525,55
284,0.0,0.0,40,0.4375,55
285,0.0,0.0,40,0.43499999999999994,55
286,0.0,0.0,40,0.4375,55
287,0.0,0.0,40,0.40750000000000003,55
288,0.0,0.0,40,0.40750000000000003,55
289,0.0,0.0,40,0.4725,55
290,0.0,0.0,40,0.43499999999999994,56
291,0.0,0.0,40,0.475,57
292,0.0,0.0,40,0.45,57
293,0.0,0.0,40,0.42000000000000004,57
294,0.0,0.0,40,0.43249999999999994,57
295,0.0,0.0,40,0.43499999999999994,57
296,0.0,0.0,40,0.44749999999999995,57
297,0.0,0.0,40,0.41999999999999993,57
298,0.0,0.0,40,0.43499999999999994,57
299,0.0,0.0,40,0.4375,57
300,0.0,0.0,40,0.45999999999999996,57
301,0.0,0.0,40,0.4375,57
302,0.0,0.0,40,0.4574999999999999,57
303,0.0,0.0,40,0.44499999999999995,57
304,0.0,0.0,40,0.4575,57
305,0.0,0.0,40,0.44749999999999995,57
306,0.0,0.0,40,0.4325,57
307,0.0,0.0,40,0.4625,57
308,0.0,0.0,40,0.45,57
309,0.0,0.0,40,0.45249999999999996,57
310,0.0,0.0,40,0.44749999999999995,57
311,0.0,0.0,40,0.44000000000000006,57
312,0.0,0.0,40,0.445,58
313,0.0,0.0,40,0.4175,58
314,0.0,0.0,40,0.42000000000000004,58
315,0.0,0.0,40,0.4425,58
316,0.0,0.0,40,0.4225,58
317,0.0,0.0,40,0.4525,58
318,0.0,0.0,40,0.4125,59
319,0.0,0.0,40,0.445,59
320,0.0,0.0,40,0.4175,59
321,0.0,0.0,40,0.43499999999999994,59
322,0.0,0.0,40,0.425,59
323,0.0,0.0,40,0.44250000000000006,59
324,0.0,0.0,40,0.45999999999999996,59
325,0.0,0.0,40,0.44000000000000006,59
