gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.019936027,0.0,40,0.0,15
2,0.030474052,0.0,40,0.0,16
3,0.045574468,0.0,40,0.0,18
4,0.06084312,0.0,40,0.0,19
5,0.0751699,0.0,40,0.0,20
6,0.08887247,0.0,40,0.0,21
7,0.10493316,0.0,40,0.0,24
8,0.117688134,0.0,40,0.0,26
9,0.13011801,0.0,40,0.0,29
10,0.1415775,0.0,40,0.0,31
11,0.14966936,0.0,40,0.0,32
12,0.16455697,0.0,40,0.0,32
13,0.17440657,0.0,40,0.0,33
14,0.18424068,0.0,40,0.0,34
15,0.19243181,0.0,40,0.0,34
16,0.20355289,0.0,40,0.0,34
17,0.21829721,0.0,40,0.0,35
18,0.22716436,0.0,40,0.0,37
19,0.23439607,0.0,40,0.0,37
20,0.24235977,0.0,40,0.0,37
21,0.25150865,0.0,40,0.0,37
22,0.2561394,0.0,40,0.0,37
23,0.26555216,0.0,40,0.0,38
24,0.27489364,0.0,40,0.0,41
25,0.2819587,0.0,40,0.0,41
26,0.28950047,0.0,40,0.0,43
27,0.30144635,0.0,40,0.0,43
28,0.30343378,0.0,40,0.0,44
29,0.30872563,0.0,40,0.0,44
30,0.31357592,0.0,40,0.0,44
31,0.32289204,0.0,40,0.0,44
32,0.32907584,0.0,40,0.0,44
33,0.32855803,0.0,40,0.0,44
34,0.3363632,0.0,40,0.0,46
35,0.339415,0.0,40,0.0,46
36,0.34477246,0.0,40,0.0,48
37,0.35274047,0.0,40,0.0,48
38,0.35610378,0.0,40,0.0,48
39,0.36193702,0.0,40,0.0,49
40,0.36276805,0.0,40,0.0,49
41,0.36884612,0.0,40,0.0,49
42,0.37665805,0.0,40,0.0,49
43,0.38005584,0.0,40,0.0,49
44,0.38775587,0.0,40,0.0,50
45,0.3902126,0.0,40,0.0,51
46,0.39471298,0.0,40,0.0,51
47,0.39592457,0.0,40,0.0,51
48,0.40195966,0.0,40,0.0,51
49,0.40631142,0.0,40,0.0,51
50,0.41083017,0.0,40,0.0,51
51,0.41162196,0.0,40,0.0,51
52,0.41191372,0.0,40,0.0,51
53,0.41502413,0.0,40,0.0,52
54,0.4185833,0.0,40,0.0,53
55,0.42224884,0.0,40,0.0,53
56,0.42524722,0.0,40,0.0,53
57,0.42727852,0.0,40,0.0,53
58,0.42670763,0.0,40,0.0,53
59,0.42648706,0.0,40,0.0,53
60,0.42880458,0.0,40,0.0,54
61,0.42993164,0.0,40,0.0,54
62,0.43324637,0.0,40,0.0,54
63,0.43425,0.0,40,0.0,54
64,0.4355819,0.0,40,0.0,54
65,0.4398332,0.0,40,0.0,55
66,0.4389631,0.0,40,0.0,56
67,0.43711576,0.0,40,0.0,56
68,0.44223705,0.0,40,0.0,56
69,0.4408666,0.0,40,0.0,56
70,0.44399327,0.0,40,0.0,57
71,0.44489473,0.0,40,0.0,58
72,0.4486065,0.0,40,0.0,58
73,0.44976318,0.0,40,0.0,58
74,0.45022523,0.0,40,0.0,58
75,0.45300224,0.0,40,0.0,58
76,0.4611967,0.0,40,0.0,58
77,0.46307036,0.0,40,0.0,60
