gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.0,0.0,40,0.0,15
2,0.0,0.0,40,0.0,16
3,0.0,0.0,40,0.0,17
4,0.0,0.0,40,0.0,18
5,0.0,0.0,40,0.0,19
6,0.0,0.0,40,0.0,19
7,0.0,0.0,40,0.0,19
8,0.0,0.0,40,0.0,19
9,0.0,0.0,40,0.0,20
10,0.0,0.0,40,0.0,22
11,0.0,0.0,40,0.0,23
12,0.0,0.0,40,0.0,23
13,0.0,0.0,40,0.0,24
14,0.0,0.0,40,0.0,25
15,0.0,0.0,40,0.0,25
16,0.0,0.0,40,0.0,25
17,0.0,0.0,40,0.0,25
18,0.0,0.0,40,0.0,25
19,0.0,0.0,40,0.0,25
20,0.0,0.0,40,0.0,25
21,0.0,0.0,40,0.0,25
22,0.0,0.0,40,0.0,25
23,0.0,0.0,40,0.0,26
24,0.0,0.0,40,0.0,26
25,0.0,0.0,40,0.0,26
26,0.0,0.0,40,0.0,28
27,0.0,0.0,40,0.0,28
28,0.0,0.0,40,0.0,28
29,0.0,0.0,40,0.0,28
30,0.0,0.0,40,0.0,28
31,0.0,0.0,40,0.0,28
32,0.0,0.0,40,0.0,28
33,0.0,0.0,40,0.0,28
34,0.0,0.0,40,0.0,28
35,0.0,0.0,40,0.0,28
36,0.0,0.0,40,0.0,28
37,0.0,0.0,40,0.0,28
38,0.0,0.0,40,0.0,28
39,0.0,0.0,40,0.0,28
40,0.0,0.0,40,0.0,28
41,0.0,0.0,40,0.0,28
42,0.0,0.0,40,0.0,28
43,0.0,0.0,40,0.0,28
44,0.0,0.0,40,0.0,28
45,0.0,0.0,40,0.0,28
46,0.0,0.0,40,0.0,28
47,0.0,0.0,40,0.0,28
48,0.0,0.0,40,0.0,28
49,0.0,0.0,40,0.0,28
50,0.0,0.0,40,0.0,28
51,0.0,0.0,40,0.0,28
52,0.0,0.0,40,0.0,28
53,0.0,0.0,40,0.0,28
54,0.0,0.0,40,0.0,29
55,0.0,0.0,40,0.0,29
56,0.0,0.0,40,0.0,29
57,0.0,0.0,40,0.0,29
58,0.0,0.0,40,0.0,29
59,0.0,0.0,40,0.0,29
60,0.0,0.0,40,0.0,29
61,0.0,0.0,40,0.0,29
62,0.0,0.0,40,0.0,29
63,0.0,0.0,40,0.0,29
64,0.0,0.0,40,0.0,29
65,0.0,0.0,40,0.0,29
66,0.0,0.0,40,0.0,29
67,0.0,0.0,40,0.0,29
68,0.0,0.0,40,0.0,29
69,0.0,0.0,40,0.0,29
70,0.0,0.0,40,0.0,29
71,0.0,0.0,40,0.0,30
72,0.0,0.0,40,0.0,30
73,0.0,0.0,40,0.0,30
74,0.0,0.0,40,0.0,30
75,0.0,0.0,40,0.0,30
76,0.0,0.0,40,0.0,30
77,0.0,0.0,40,0.0,30
78,0.0,0.0,40,0.0,30
79,0.0,0.0,40,0.0,30
80,0.0,0.0,40,0.0,30
81,0.0,0.0,40,0.0,30
82,0.0,0.0,40,0.0,30
83,0.0,0.0,40,0.0,30
84,0.0,0.0,40,0.0,32
85,0.0,0.0,40,0.0,33
86,0.0,0.0,40,0.0,36
87,0.0,0.0,40,0.0,37
88,0.0,0.0,40,0.0,37
89,0.0,0.0,40,0.0,38
90,0.0,0.0,40,0.0,40
91,0.0,0.0,40,0.0,41
92,0.0,0.0,40,0.0,41
93,0.0,0.0,40,0.0,42
94,0.0,0.0,40,0.0,42
95,0.0,0.0,40,0.0,43
96,0.0,0.0,40,0.0,43
97,0.0,0.0,40,0.0,44
98,0.0,0.0,40,0.0,45
99,0.0,0.0,40,0.0,45
100,0.0,0.0,40,0.0685,45
101,0.0,0.0,40,0.0685,45
102,0.0,0.0,40,0.0685,46
103,0.0,0.0,40,0.0685,46
104,0.0,0.0,40,0.0685,46
105,0.0,0.0,40,0.0685,47
106,0.0,0.0,40,0.0685,48
107,0.0,0.0,40,0.0685,48
108,0.0,0.0,40,0.0685,49
109,0.0,0.0,40,0.0685,50
110,0.0,0.0,40,0.0685,50
111,0.0,0.0,40,0.0685,50
112,0.0,0.0,40,0.0685,50
113,0.0,0.0,40,0.0685,50
114,0.0,0.0,40,0.0685,50
115,0.0,0.0,40,0.0685,50
116,0.0,0.0,40,0.0685,50
117,0.0,0.0,40,0.0685,50
118,0.0,0.0,40,0.0685,50
119,0.0,0.0,40,0.0685,50
120,0.0,0.0,40,0.0685,50
121,0.0,0.0,40,0.0685,50
122,0.0,0.0,40,0.0685,50
123,0.0,0.0,40,0.0685,50
124,0.0,0.0,40,0.0685,50
125,0.0,0.0,40,0.0685,50
126,0.0,0.0,40,0.0685,50
127,0.0,0.0,40,0.0685,50
128,0.0,0.0,40,0.0685,50
129,0.0,0.0,40,0.0685,50
130,0.0,0.0,40,0.0685,50
131,0.0,0.0,40,0.0685,51
132,0.0,0.0,40,0.0685,51
133,0.0,0.0,40,0.0685,51
134,0.0,0.0,40,0.0685,51
135,0.0,0.0,40,0.0685,51
136,0.0,0.0,40,0.0685,52
137,0.0,0.0,40,0.0685,52
138,0.0,0.0,40,0.0685,52
139,0.0,0.0,40,0.0685,52
140,0.0,0.0,40,0.0685,52
141,0.0,0.0,40,0.0685,52
142,0.0,0.0,40,0.0685,52
143,0.0,0.0,40,0.0685,52
144,0.0,0.0,40,0.0685,52
145,0.0,0.0,40,0.0685,52
146,0.0,0.0,40,0.0685,52
147,0.0,0.0,40,0.0685,52
148,0.0,0.0,40,0.0685,52
149,0.0,0.0,40,0.0685,52
150,0.0,0.0,40,0.0685,52
151,0.0,0.0,40,0.0685,52
152,0.0,0.0,40,0.0685,52
153,0.0,0.0,40,0.0685,52
154,0.0,0.0,40,0.0685,52
155,0.0,0.0,40,0.0685,53
156,0.0,0.0,40,0.0685,53
157,0.0,0.0,40,0.0685,53
158,0.0,0.0,40,0.0685,53
159,0.0,0.0,40,0.0685,53
160,0.0,0.0,40,0.0685,53
161,0.0,0.0,40,0.0685,53
162,0.0,0.0,40,0.0685,53
163,0.0,0.0,40,0.0685,53
164,0.0,0.0,40,0.0685,54
165,0.0,0.0,40,0.0685,54
166,0.0,0.0,40,0.0685,54
167,0.0,0.0,40,0.0685,55
168,0.0,0.0,40,0.0685,55
169,0.0,0.0,40,0.0685,55
170,0.0,0.0,40,0.0685,55
171,0.0,0.0,40,0.0685,55
172,0.0,0.0,40,0.0685,55
173,0.0,0.0,40,0.0685,55
174,0.0,0.0,40,0.0685,55
175,0.0,0.0,40,0.0685,55
176,0.0,0.0,40,0.0685,55
177,0.0,0.0,40,0.0685,55
178,0.0,0.0,40,0.0685,55
179,0.0,0.0,40,0.0685,56
180,0.0,0.0,40,0.0685,56
181,0.0,0.0,40,0.0685,56
182,0.0,0.0,40,0.0685,56
183,0.0,0.0,40,0.0685,56
184,0.0,0.0,40,0.0685,56
185,0.0,0.0,40,0.0685,56
186,0.0,0.0,40,0.0685,57
187,0.0,0.0,40,0.0685,57
188,0.0,0.0,40,0.0685,57
189,0.0,0.0,40,0.0685,57
190,0.0,0.0,40,0.0685,57
191,0.0,0.0,40,0.0685,57
192,0.0,0.0,40,0.0685,57
193,0.0,0.0,40,0.0685,57
194,0.0,0.0,40,0.0685,57
195,0.0,0.0,40,0.0685,57
196,0.0,0.0,40,0.0685,57
197,0.0,0.0,40,0.0685,57
198,0.0,0.0,40,0.0685,57
199,0.0,0.0,40,0.0685,60
200,0.0,0.0,40,0.0706,60
201,0.0,0.0,40,0.0706,60
202,0.0,0.0,40,0.0706,60
203,0.0,0.0,40,0.0706,60
204,0.0,0.0,40,0.0706,60
205,0.0,0.0,40,0.0706,60
206,0.0,0.0,40,0.0706,60
207,0.0,0.0,40,0.0706,61
208,0.0,0.0,40,0.0706,61
209,0.0,0.0,40,0.0706,61
210,0.0,0.0,40,0.0706,61
211,0.0,0.0,40,0.0706,61
212,0.0,0.0,40,0.0706,61
213,0.0,0.0,40,0.0706,61
214,0.0,0.0,40,0.0706,62
215,0.0,0.0,40,0.0706,62
216,0.0,0.0,40,0.0706,62
217,0.0,0.0,40,0.0706,62
218,0.0,0.0,40,0.0706,62
219,0.0,0.0,40,0.0706,62
220,0.0,0.0,40,0.0706,62
221,0.0,0.0,40,0.0706,62
222,0.0,0.0,40,0.0706,62
223,0.0,0.0,40,0.0706,62
224,0.0,0.0,40,0.0706,62
225,0.0,0.0,40,0.0706,62
226,0.0,0.0,40,0.0706,62
227,0.0,0.0,40,0.0706,62
228,0.0,0.0,40,0.0706,62
229,0.0,0.0,40,0.0706,62
230,0.0,0.0,40,0.0706,62
231,0.0,0.0,40,0.0706,62
232,0.0,0.0,40,0.0706,65
233,0.0,0.0,40,0.0706,65
234,0.0,0.0,40,0.0706,65
235,0.0,0.0,40,0.0706,66
236,0.0,0.0,40,0.0706,66
237,0.0,0.0,40,0.0706,66
238,0.0,0.0,40,0.0706,67
239,0.0,0.0,40,0.0706,67
240,0.0,0.0,40,0.0706,67
241,0.0,0.0,40,0.0706,67
242,0.0,0.0,40,0.0706,67
243,0.0,0.0,40,0.0706,67
244,0.0,0.0,40,0.0706,67
245,0.0,0.0,40,0.0706,67
246,0.0,0.0,40,0.0706,67
247,0.0,0.0,40,0.0706,67
248,0.0,0.0,40,0.0706,67
249,0.0,0.0,40,0.0706,67
250,0.0,0.0,40,0.0706,67
251,0.0,0.0,40,0.0706,67
252,0.0,0.0,40,0.0706,67
253,0.0,0.0,40,0.0706,67
254,0.0,0.0,40,0.0706,67
255,0.0,0.0,40,0.0706,67
256,0.0,0.0,40,0.0706,67
257,0.0,0.0,40,0.0706,67
258,0.0,0.0,40,0.0706,67
259,0.0,0.0,40,0.0706,67
260,0.0,0.0,40,0.0706,67
261,0.0,0.0,40,0.0706,67
262,0.0,0.0,40,0.0706,67
263,0.0,0.0,40,0.0706,67
264,0.0,0.0,40,0.0706,67
265,0.0,0.0,40,0.0706,67
266,0.0,0.0,40,0.0706,67
267,0.0,0.0,40,0.0706,67
268,0.0,0.0,40,0.0706,67
269,0.0,0.0,40,0.0706,67
270,0.0,0.0,40,0.0706,67
271,0.0,0.0,40,0.0706,69
272,0.0,0.0,40,0.0706,69
273,0.0,0.0,40,0.0706,69
274,0.0,0.0,40,0.0706,69
275,0.0,0.0,40,0.0706,69
276,0.0,0.0,40,0.0706,70
277,0.0,0.0,40,0.0706,71
278,0.0,0.0,40,0.0706,71
279,0.0,0.0,40,0.0706,71
280,0.0,0.0,40,0.0706,71
281,0.0,0.0,40,0.0706,71
282,0.0,0.0,40,0.0706,71
283,0.0,0.0,40,0.0706,71
284,0.0,0.0,40,0.0706,71
285,0.0,0.0,40,0.0706,71
286,0.0,0.0,40,0.0706,71
287,0.0,0.0,40,0.0706,71
288,0.0,0.0,40,0.0706,71
289,0.0,0.0,40,0.0706,71
290,0.0,0.0,40,0.0706,71
291,0.0,0.0,40,0.0706,71
292,0.0,0.0,40,0.0706,71
293,0.0,0.0,40,0.0706,71
294,0.0,0.0,40,0.0706,71
295,0.0,0.0,40,0.0706,71
296,0.0,0.0,40,0.0706,71
297,0.0,0.0,40,0.0706,71
298,0.0,0.0,40,0.0706,71
299,0.0,0.0,40,0.0706,71
300,0.0,0.0,40,0.0668,71
301,0.0,0.0,40,0.0668,72
302,0.0,0.0,40,0.0668,73
303,0.0,0.0,40,0.0668,73
304,0.0,0.0,40,0.0668,73
305,0.0,0.0,40,0.0668,74
306,0.0,0.0,40,0.0668,74
307,0.0,0.0,40,0.0668,74
308,0.0,0.0,40,0.0668,74
309,0.0,0.0,40,0.0668,74
310,0.0,0.0,40,0.0668,74
311,0.0,0.0,40,0.0668,74
312,0.0,0.0,40,0.0668,75
313,0.0,0.0,40,0.0668,75
314,0.0,0.0,40,0.0668,75
315,0.0,0.0,40,0.0668,75
316,0.0,0.0,40,0.0668,75
317,0.0,0.0,40,0.0668,75
318,0.0,0.0,40,0.0668,75
319,0.0,0.0,40,0.0668,75
320,0.0,0.0,40,0.0668,75
321,0.0,0.0,40,0.0668,75
322,0.0,0.0,40,0.0668,75
323,0.0,0.0,40,0.0668,75
324,0.0,0.0,40,0.0668,75
325,0.0,0.0,40,0.0668,75
326,0.0,0.0,40,0.0668,75
327,0.0,0.0,40,0.0668,76
328,0.0,0.0,40,0.0668,76
329,0.0,0.0,40,0.0668,76
330,0.0,0.0,40,0.0668,76
331,0.0,0.0,40,0.0668,76
332,0.0,0.0,40,0.0668,76
333,0.0,0.0,40,0.0668,76
334,0.0,0.0,40,0.0668,78
335,0.0,0.0,40,0.0668,78
336,0.0,0.0,40,0.0668,78
337,0.0,0.0,40,0.0668,78
338,0.0,0.0,40,0.0668,78
339,0.0,0.0,40,0.0668,79
340,0.0,0.0,40,0.0668,79
341,0.0,0.0,40,0.0668,79
342,0.0,0.0,40,0.0668,80
343,0.0,0.0,40,0.0668,80
344,0.0,0.0,40,0.0668,82
345,0.0,0.0,40,0.0668,82
346,0.0,0.0,40,0.0668,82
347,0.0,0.0,40,0.0668,82
348,0.0,0.0,40,0.0668,82
349,0.0,0.0,40,0.0668,82
350,0.0,0.0,40,0.0668,82
351,0.0,0.0,40,0.0668,83
352,0.0,0.0,40,0.0668,84
353,0.0,0.0,40,0.0668,85
354,0.0,0.0,40,0.0668,86
355,0.0,0.0,40,0.0668,86
356,0.0,0.0,40,0.0668,86
357,0.0,0.0,40,0.0668,86
358,0.0,0.0,40,0.0668,86
359,0.0,0.0,40,0.0668,86
360,0.0,0.0,40,0.0668,90
361,0.0,0.0,40,0.0668,91
362,0.0,0.0,40,0.0668,93
363,0.0,0.0,40,0.0668,93
364,0.0,0.0,40,0.0668,93
365,0.0,0.0,40,0.0668,93
366,0.0,0.0,40,0.0668,93
367,0.0,0.0,40,0.0668,93
368,0.0,0.0,40,0.0668,93
369,0.0,0.0,40,0.0668,93
370,0.0,0.0,40,0.0668,93
371,0.0,0.0,40,0.0668,93
372,0.0,0.0,40,0.0668,93
373,0.0,0.0,40,0.0668,94
374,0.0,0.0,40,0.0668,94
375,0.0,0.0,40,0.0668,95
376,0.0,0.0,40,0.0668,95
377,0.0,0.0,40,0.0668,95
378,0.0,0.0,40,0.0668,95
379,0.0,0.0,40,0.0668,95
380,0.0,0.0,40,0.0668,95
381,0.0,0.0,40,0.0668,96
382,0.0,0.0,40,0.0668,96
383,0.0,0.0,40,0.0668,96
384,0.0,0.0,40,0.0668,96
385,0.0,0.0,40,0.0668,96
386,0.0,0.0,40,0.0668,96
387,0.0,0.0,40,0.0668,96
388,0.0,0.0,40,0.0668,96
389,0.0,0.0,40,0.0668,96
390,0.0,0.0,40,0.0668,96
391,0.0,0.0,40,0.0668,96
392,0.0,0.0,40,0.0668,96
393,0.0,0.0,40,0.0668,96
394,0.0,0.0,40,0.0668,96
395,0.0,0.0,40,0.0668,96
396,0.0,0.0,40,0.0668,96
397,0.0,0.0,40,0.0668,96
398,0.0,0.0,40,0.0668,96
399,0.0,0.0,40,0.0668,96
400,0.0,0.0,40,0.0675,96
401,0.0,0.0,40,0.0675,96
402,0.0,0.0,40,0.0675,96
403,0.0,0.0,40,0.0675,96
404,0.0,0.0,40,0.0675,96
405,0.0,0.0,40,0.0675,96
406,0.0,0.0,40,0.0675,96
407,0.0,0.0,40,0.0675,96
408,0.0,0.0,40,0.0675,96
409,0.0,0.0,40,0.0675,96
410,0.0,0.0,40,0.0675,96
411,0.0,0.0,40,0.0675,96
412,0.0,0.0,40,0.0675,96
413,0.0,0.0,40,0.0675,96
414,0.0,0.0,40,0.0675,96
415,0.0,0.0,40,0.0675,96
416,0.0,0.0,40,0.0675,96
417,0.0,0.0,40,0.0675,96
418,0.0,0.0,40,0.0675,96
419,0.0,0.0,40,0.0675,96
420,0.0,0.0,40,0.0675,96
421,0.0,0.0,40,0.0675,96
422,0.0,0.0,40,0.0675,96
423,0.0,0.0,40,0.0675,96
424,0.0,0.0,40,0.0675,96
425,0.0,0.0,40,0.0675,96
426,0.0,0.0,40,0.0675,96
427,0.0,0.0,40,0.0675,96
428,0.0,0.0,40,0.0675,96
429,0.0,0.0,40,0.0675,96
430,0.0,0.0,40,0.0675,96
431,0.0,0.0,40,0.0675,96
432,0.0,0.0,40,0.0675,96
433,0.0,0.0,40,0.0675,96
434,0.0,0.0,40,0.0675,97
435,0.0,0.0,40,0.0675,97
436,0.0,0.0,40,0.0675,98
437,0.0,0.0,40,0.0675,98
438,0.0,0.0,40,0.0675,98
439,0.0,0.0,40,0.0675,98
440,0.0,0.0,40,0.0675,98
441,0.0,0.0,40,0.0675,98
442,0.0,0.0,40,0.0675,98
443,0.0,0.0,40,0.0675,98
444,0.0,0.0,40,0.0675,98
445,0.0,0.0,40,0.0675,98
446,0.0,0.0,40,0.0675,98
447,0.0,0.0,40,0.0675,98
448,0.0,0.0,40,0.0675,98
449,0.0,0.0,40,0.0675,99
450,0.0,0.0,40,0.0675,99
451,0.0,0.0,40,0.0675,99
452,0.0,0.0,40,0.0675,99
453,0.0,0.0,40,0.0675,100
454,0.0,0.0,40,0.0675,100
455,0.0,0.0,40,0.0675,100
456,0.0,0.0,40,0.0675,100
457,0.0,0.0,40,0.0675,100
458,0.0,0.0,40,0.0675,100
459,0.0,0.0,40,0.0675,100
460,0.0,0.0,40,0.0675,100
461,0.0,0.0,40,0.0675,100
462,0.0,0.0,40,0.0675,100
463,0.0,0.0,40,0.0675,100
464,0.0,0.0,40,0.0675,100
465,0.0,0.0,40,0.0675,100
466,0.0,0.0,40,0.0675,100
467,0.0,0.0,40,0.0675,100
468,0.0,0.0,40,0.0675,100
469,0.0,0.0,40,0.0675,100
470,0.0,0.0,40,0.0675,100
471,0.0,0.0,40,0.0675,100
472,0.0,0.0,40,0.0675,100
473,0.0,0.0,40,0.0675,100
474,0.0,0.0,40,0.0675,100
475,0.0,0.0,40,0.0675,100
476,0.0,0.0,40,0.0675,100
477,0.0,0.0,40,0.0675,100
478,0.0,0.0,40,0.0675,100
479,0.0,0.0,40,0.0675,100
480,0.0,0.0,40,0.0675,100
481,0.0,0.0,40,0.0675,100
482,0.0,0.0,40,0.0675,100
483,0.0,0.0,40,0.0675,100
484,0.0,0.0,40,0.0675,100
485,0.0,0.0,40,0.0675,100
486,0.0,0.0,40,0.0675,101
487,0.0,0.0,40,0.0675,101
488,0.0,0.0,40,0.0675,101
489,0.0,0.0,40,0.0675,101
490,0.0,0.0,40,0.0675,101
491,0.0,0.0,40,0.0675,102
492,0.0,0.0,40,0.0675,102
493,0.0,0.0,40,0.0675,102
494,0.0,0.0,40,0.0675,103
495,0.0,0.0,40,0.0675,103
496,0.0,0.0,40,0.0675,104
497,0.0,0.0,40,0.0675,104
498,0.0,0.0,40,0.0675,104
499,0.0,0.0,40,0.0675,104
500,0.0,0.0,40,0.0685,104
501,0.0,0.0,40,0.0685,104
502,0.0,0.0,40,0.0685,104
503,0.0,0.0,40,0.0685,104
504,0.0,0.0,40,0.0685,104
505,0.0,0.0,40,0.0685,104
506,0.0,0.0,40,0.0685,104
507,0.0,0.0,40,0.0685,104
508,0.0,0.0,40,0.0685,104
509,0.0,0.0,40,0.0685,104
510,0.0,0.0,40,0.0685,104
511,0.0,0.0,40,0.0685,104
512,0.0,0.0,40,0.0685,104
513,0.0,0.0,40,0.0685,104
514,0.0,0.0,40,0.0685,104
515,0.0,0.0,40,0.0685,104
516,0.0,0.0,40,0.0685,105
517,0.0,0.0,40,0.0685,105
518,0.0,0.0,40,0.0685,105
519,0.0,0.0,40,0.0685,105
520,0.0,0.0,40,0.0685,105
521,0.0,0.0,40,0.0685,105
522,0.0,0.0,40,0.0685,107
