gen,s_mean,avg_fitness,agent_count,avg_lz,archive_size
0,0.0,0.0,40,0.0,0
1,0.019084109,0.0,40,0.0,14
2,0.031253062,0.0,40,0.0,16
3,0.047507353,0.0,40,0.0,20
4,0.058953937,0.0,40,0.0,20
5,0.0773957,0.0,40,0.0,20
6,0.09106366,0.0,40,0.0,22
7,0.10528058,0.0,40,0.0,24
8,0.1204067,0.0,40,0.0,24
9,0.12872797,0.0,40,0.0,25
10,0.14416091,0.0,40,0.0,26
11,0.15039694,0.0,40,0.0,27
12,0.15873775,0.0,40,0.0,27
13,0.1717109,0.0,40,0.0,27
14,0.18050766,0.0,40,0.0,27
15,0.19321895,0.0,40,0.0,29
16,0.20358673,0.0,40,0.0,30
17,0.21485606,0.0,40,0.0,30
18,0.22497833,0.0,40,0.0,32
19,0.23144917,0.0,40,0.0,33
20,0.23664673,0.0,40,0.0,34
21,0.24642685,0.0,40,0.0,34
22,0.25102466,0.0,40,0.0,34
23,0.2570059,0.0,40,0.0,35
24,0.26528957,0.0,40,0.0,35
25,0.2737071,0.0,40,0.0,39
26,0.27819192,0.0,40,0.0,40
27,0.2818487,0.0,40,0.0,41
28,0.2885358,0.0,40,0.0,41
29,0.29909587,0.0,40,0.0,43
30,0.3066769,0.0,40,0.0,44
31,0.31849194,0.0,40,0.0,45
32,0.3216769,0.0,40,0.0,49
33,0.32734448,0.0,40,0.0,52
34,0.33156058,0.0,40,0.0,53
35,0.3355209,0.0,40,0.0,53
36,0.34370777,0.0,40,0.0,55
37,0.34562996,0.0,40,0.0,55
38,0.3488232,0.0,40,0.0,55
39,0.35540587,0.0,40,0.0,55
40,0.35865083,0.0,40,0.0,55
41,0.36225787,0.0,40,0.0,55
42,0.36718237,0.0,40,0.0,55
43,0.36939132,0.0,40,0.0,55
44,0.37637192,0.0,40,0.0,55
45,0.3794685,0.0,40,0.0,57
46,0.37930337,0.0,40,0.0,57
47,0.38608813,0.0,40,0.0,58
48,0.39165,0.0,40,0.0,58
49,0.39502507,0.0,40,0.0,58
50,0.39815146,0.0,40,0.0,58
51,0.3996276,0.0,40,0.0,58
52,0.40113515,0.0,40,0.0,58
53,0.40300086,0.0,40,0.0,58
54,0.408098,0.0,40,0.0,58
55,0.41163388,0.0,40,0.0,60
56,0.4099239,0.0,40,0.0,60
57,0.41536078,0.0,40,0.0,60
58,0.41436532,0.0,40,0.0,60
59,0.41918156,0.0,40,0.0,60
60,0.41968095,0.0,40,0.0,61
61,0.4199719,0.0,40,0.0,61
62,0.42376456,0.0,40,0.0,61
63,0.42808944,0.0,40,0.0,61
64,0.4286957,0.0,40,0.0,61
65,0.4348419,0.0,40,0.0,62
66,0.43524736,0.0,40,0.0,64
67,0.43847412,0.0,40,0.0,64
68,0.4368517,0.0,40,0.0,67
69,0.43930674,0.0,40,0.0,68
70,0.44067818,0.0,40,0.0,71
71,0.4467771,0.0,40,0.0,74
72,0.44602284,0.0,40,0.0,75
73,0.44783175,0.0,40,0.0,75
74,0.45165956,0.0,40,0.0,77
75,0.45710352,0.0,40,0.0,77
76,0.45665404,0.0,40,0.0,77
77,0.4605052,0.0,40,0.0,77
78,0.46069473,0.0,40,0.0,77
79,0.46240157,0.0,40,0.0,77
80,0.46108598,0.0,40,0.0,77
81,0.46581826,0.0,40,0.0,77
82,0.46826923,0.0,40,0.0,78
83,0.4682713,0.0,40,0.0,78
84,0.46865693,0.0,40,0.0,78
85,0.4723,0.0,40,0.0,78
86,0.47318256,0.0,40,0.0,78
87,0.47305197,0.0,40,0.0,78
88,0.47392842,0.0,40,0.0,78
89,0.4723497,0.0,40,0.0,78
90,0.47544008,0.0,40,0.0,78
91,0.48091578,0.0,40,0.0,78
92,0.47740752,0.0,40,0.0,78
93,0.4753559,0.0,40,0.0,78
94,0.47459546,0.0,40,0.0,78
95,0.47509596,0.0,40,0.0,78
96,0.47273633,0.0,40,0.0,78
97,0.4748513,0.0,40,0.0,78
98,0.4705699,0.0,40,0.0,78
99,0.47069132,0.0,40,0.0,78
100,0.46966368,0.0,40,0.0,78
101,0.4706005,0.0,40,0.0,78
102,0.4676913,0.0,40,0.0,78
103,0.46518028,0.0,40,0.0,78
104,0.46663097,0.0,40,0.0,79
105,0.4668765,0.0,40,0.0,79
106,0.47125304,0.0,40,0.0,79
107,0.46951532,0.0,40,0.0,79
108,0.4699727,0.0,40,0.0,79
109,0.47293755,0.0,40,0.0,79
110,0.47073516,0.0,40,0.0,79
111,0.47209248,0.0,40,0.0,79
112,0.47531405,0.0,40,0.0,80
113,0.47591153,0.0,40,0.0,80
114,0.47592875,0.0,40,0.0,80
115,0.47862196,0.0,40,0.0,80
116,0.47880253,0.0,40,0.0,80
117,0.48063976,0.0,40,0.0,80
118,0.4833453,0.0,40,0.0,80
119,0.48243648,0.0,40,0.0,80
120,0.48468956,0.0,40,0.0,80
121,0.48904708,0.0,40,0.0,80
122,0.49253666,0.0,40,0.0,80
123,0.4953714,0.0,40,0.0,81
124,0.49526542,0.0,40,0.0,81
125,0.49322397,0.0,40,0.0,81
126,0.49387723,0.0,40,0.0,81
127,0.4945963,0.0,40,0.0,81
128,0.49082845,0.0,40,0.0,81
129,0.49219272,0.0,40,0.0,81
130,0.49528486,0.0,40,0.0,82
131,0.49270293,0.0,40,0.0,82
132,0.49289367,0.0,40,0.0,82
133,0.4936034,0.0,40,0.0,82
134,0.49288467,0.0,40,0.0,82
135,0.4906487,0.0,40,0.0,82
136,0.48974684,0.0,40,0.0,82
137,0.48848417,0.0,40,0.0,82
138,0.48914003,0.0,40,0.0,82
139,0.48824912,0.0,40,0.0,83
140,0.4873447,0.0,40,0.0,83
141,0.4847403,0.0,40,0.0,84
142,0.4819631,0.0,40,0.0,84
143,0.48252705,0.0,40,0.0,85
144,0.48298925,0.0,40,0.0,85
145,0.48162836,0.0,40,0.0,85
146,0.48502466,0.0,40,0.0,85
147,0.48691952,0.0,40,0.0,85
148,0.48863956,0.0,40,0.0,85
149,0.48829424,0.0,40,0.0,85
150,0.4860452,0.0,40,0.0,85
151,0.4834066,0.0,40,0.0,85
152,0.4841008,0.0,40,0.0,85
153,0.48545372,0.0,40,0.0,85
154,0.4863294,0.0,40,0.0,85
155,0.4866853,0.0,40,0.0,85
156,0.48594004,0.0,40,0.0,85
157,0.48393667,0.0,40,0.0,85
158,0.48144057,0.0,40,0.0,85
159,0.47832403,0.0,40,0.0,85
