Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
1000,100,1,26.03,37.09,100,0,0,0.0,1.0,0.06
2000,100,1,27.06,42.2,100,0,0,0.0,1.0,0.075
3000,100,1,28.04,45.21,100,0,0,0.0,1.0,0.025
4000,100,1,28.04,45.14,100,0,0,0.0,1.0,0.055
5000,98,1,28.0,49.05102040816327,98,0,0,0.0,1.0,0.065
6000,99,1,28.0,49.06060606060606,99,0,0,0.0,1.0,0.055
7000,99,1,28.0,49.111111111111114,99,0,0,0.0,1.0,0.04
8000,97,1,28.0,49.09278350515464,97,0,0,0.0,1.0,0.025
9000,94,1,28.0,49.0531914893617,94,0,0,0.0,1.0,0.05
10000,98,1,28.0,49.06122448979592,0,0,98,0.0,1.0,0.085
11000,97,1,28.0,49.07216494845361,97,0,0,0.0,1.0,0.1
12000,95,1,28.0,49.084210526315786,95,0,0,0.0,1.0,0.05499999999999999
13000,96,1,28.0,49.104166666666664,96,0,0,0.0,1.0,0.04
14000,98,1,28.0,49.11224489795919,98,0,0,0.0,1.0,0.08
15000,100,1,28.0,49.09,100,0,0,0.0,1.0,0.035
16000,98,1,28.0,49.234693877551024,98,0,0,0.0,1.0,0.045
17000,100,1,28.0,49.09,100,0,0,0.0,1.0,0.04
18000,100,1,28.0,49.06,100,0,0,0.0,1.0,0.055
19000,97,1,28.0,49.144329896907216,0,0,97,0.0,1.0,0.1
20000,97,1,28.0,49.123711340206185,97,0,0,0.0,1.0,0.05
21000,99,1,28.0,49.19191919191919,99,0,0,0.0,1.0,0.05
22000,97,1,28.0,49.05154639175258,97,0,0,0.0,1.0,0.035
23000,99,1,28.0,49.08080808080808,99,0,0,0.0,1.0,0.045
24000,96,1,28.0,49.114583333333336,96,0,0,0.0,1.0,0.035
25000,95,1,28.0,49.09473684210526,95,0,0,0.0,1.0,0.060000000000000005
26000,99,1,28.0,49.02020202020202,99,0,0,0.0,1.0,0.055
27000,96,1,28.0,49.052083333333336,96,0,0,0.0,1.0,0.045000000000000005
28000,95,1,28.0,49.17894736842105,95,0,0,0.0,1.0,0.05
29000,93,1,28.0,49.10752688172043,93,0,0,0.0,1.0,0.04
30000,96,1,28.0,49.125,96,0,0,0.0,1.0,0.07
31000,99,1,28.0,49.02020202020202,99,0,0,0.0,1.0,0.045
