Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
1000,100,1,26.08,39.3,100,0,0,0.0,1.0,0.02
2000,99,1,31.0,50.0,99,0,0,0.0,1.0,0.01
3000,89,1,31.0,50.0,89,0,0,0.0,1.0,0.02
4000,92,1,31.0,50.0,92,0,0,0.0,1.0,0.02
5000,94,1,31.0,50.0,94,0,0,0.0,1.0,0.01
6000,93,1,31.0,50.0,0,93,0,0.0,1.0,0.03
7000,91,1,31.0,50.0,91,0,0,0.0,1.0,0.024999999999999998
8000,94,1,31.0,50.0,94,0,0,0.0,1.0,0.025
9000,95,1,31.0,50.0,95,0,0,0.0,1.0,0.025
10000,88,1,31.0,50.0,88,0,0,0.0,1.0,0.02
11000,88,1,31.0,50.0,88,0,0,0.0,1.0,0.02
12000,96,1,31.0,50.0,96,0,0,0.0,1.0,0.01
13000,94,1,31.0,50.0,94,0,0,0.0,1.0,0.03
14000,95,1,31.0,50.0,95,0,0,0.0,1.0,0.01
15000,93,1,31.0,50.0,93,0,0,0.0,1.0,0.02
16000,93,1,31.0,50.0,93,0,0,0.0,1.0,0.01
17000,92,1,31.0,50.0,92,0,0,0.0,1.0,0.01
18000,94,1,31.0,50.0,94,0,0,0.0,1.0,0.01
19000,95,1,31.0,50.0,95,0,0,0.0,1.0,0.02
20000,97,1,31.0,50.0,97,0,0,0.0,1.0,0.025
21000,89,1,31.0,50.0,89,0,0,0.0,1.0,0.04
22000,94,1,31.0,50.0,94,0,0,0.0,1.0,0.01
23000,96,1,31.0,50.0,96,0,0,0.0,1.0,0.03
24000,92,1,31.0,50.0,92,0,0,0.0,1.0,0.025
25000,94,1,31.0,50.0,94,0,0,0.0,1.0,0.02
26000,90,1,31.0,50.0,90,0,0,0.0,1.0,0.025
27000,86,1,31.0,50.0,86,0,0,0.0,1.0,0.035
28000,88,1,31.0,50.0,88,0,0,0.0,1.0,0.01
