Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
500,100,1,22.03,27.11,100,0,0,0.00023868994321674109,1.0,0.03500000000000002
1000,100,1,24.01,33.16,0,0,100,0.0003632772422861308,1.0,0.08999999999999998
1500,100,1,29.05,45.17,100,0,0,0.0012618697946891189,1.0,0.09999999999999998
2000,100,1,30.01,47.12,100,0,0,4.646415254683234e-05,1.0,0.07000000000000003
2500,100,1,30.02,47.22,100,0,0,0.001638390007428825,1.0,0.03
3000,100,1,30.08,47.27,100,0,0,0.0008008650038391352,1.0,0.039999999999999994
3500,100,1,30.06,47.22,100,0,0,0.000803453556727618,1.0,0.019999999999999997
4000,98,1,30.112244897959183,47.38775510204081,98,0,0,0.003969041630625725,1.0,0.04499999999999999
4500,100,1,30.04,47.11,100,0,0,0.0015167344827204943,1.0,0.03
5000,100,1,30.03,47.13,100,0,0,0.0004644740547519177,1.0,0.03
