Generation,PopSize,NumSpecies,AvgNodes,AvgConns,Action_M,Action_S,Action_I,S_mean,EPC,LZ
500,100,1,19.13,22.3,100,0,0,0.0,1.0,0.09999999999999998
1000,100,2,21.04,27.51,0,0,100,0.0,1.0,0.12
1500,100,1,25.04,37.19,100,0,0,0.0,1.0,0.039999999999999994
2000,100,1,25.09,37.23,100,0,0,0.0,1.0,0.039999999999999994
2500,100,1,25.02,37.08,100,0,0,0.0,1.0,0.065
3000,100,1,28.04,43.2,100,0,0,0.0,1.0,0.024999999999999994
3500,96,1,30.0,50.0,96,0,0,0.0,1.0,0.049999999999999996
4000,93,1,30.0,50.0,93,0,0,0.0,1.0,0.044999999999999984
4500,93,1,30.0,50.0,93,0,0,0.0,1.0,0.029999999999999995
5000,92,1,30.0,50.0,92,0,0,0.0,1.0,0.019999999999999997
