Generation,Condition,AvgNodes,ActionEntropy,GAC,SpeciesCount,ANNEX,AvgEdges
1,Control,12.04,0.1457,0.0,1,1,2.12
100,Control,15.73,0.1181,0.0,1,1,14.69
200,Control,20.06,0.0213,0.0,1,1,29.64
300,Control,23.86,0.0371,0.0,1,1,43.7
400,Control,28.49,0.0341,0.0,1,1,59.47
500,Control,32.85,0.0526,0.0,1,1,72.35
600,Control,36.74,0.0357,0.2209,1,1,85.51
700,Control,40.67,0.0224,0.4116,2,1,100.37
800,Control,44.51,0.0172,0.4828,2,1,114.48
900,Control,49.94,0.0256,0.5196,2,1,130.79
1000,Control,54.14,0.0439,0.5485,2,1,145.08
1100,Control,59.63,0.0005,0.5212,2,1,164.32
1200,Control,63.19,0.0015,0.6234,1,1,177.23
1300,Control,67.91,0.0222,0.6848,1,1,191.66
1400,Control,72.8,0.0094,0.7188,2,1,208.44
1500,Control,76.5,0.0205,0.7332,1,1,223.86
1600,Control,81.16,0.0035,0.8402,1,1,238.12
1700,Control,86.12,0.0205,0.8398,2,1,253.24
1800,Control,89.05,0.0068,0.8592,2,1,266.46
1900,Control,93.69,0.0035,0.8627,2,1,284.14
2000,Control,97.81,0.0054,0.8753,2,1,297.9
2100,Control,101.54,0.021,0.883,2,1,311.3
2200,Control,104.3,0.0197,0.9047,2,1,324.25
2300,Control,108.68,0.01,0.8778,2,1,341.18
2400,Control,112.04,0.0106,0.9055,2,1,355.09
2500,Control,117.17,0.0006,0.8796,2,1,373.31
2600,Control,121.28,0.0031,0.8783,2,1,387.11
2700,Control,127.04,0.0402,0.851,2,1,406.72
2800,Control,132.55,0.0144,0.8493,2,1,424.46
2900,Control,135.75,0.0,0.8409,2,1,436.51
3000,Control,141.01,0.0081,0.8645,2,1,455.44
3100,Control,144.8,0.0187,0.8611,2,1,471.99
3200,Control,149.26,0.0149,0.8586,2,1,489.72
3300,Control,154.41,0.0277,0.8538,2,1,509.33
3400,Control,158.21,0.0192,0.8558,2,1,524.94
3500,Control,163.59,0.0,0.8605,2,1,544.41
3600,Control,167.99,0.0106,0.8653,2,1,562.16
3700,Control,174.19,0.0,0.8849,2,1,580.65
3800,Control,179.81,0.0017,0.8828,2,1,601.8
3900,Control,182.73,0.0029,0.8839,2,1,615.03
4000,Control,187.11,0.0017,0.9009,1,1,631.97
4100,Control,189.94,0.0119,0.9221,1,1,644.45
4200,Control,193.97,0.0,0.9315,2,1,661.06
4300,Control,199.19,0.0017,0.947,2,1,680.33
4400,Control,204.38,0.0027,0.9459,2,1,698.05
4500,Control,207.61,0.0076,0.953,2,1,710.46
4600,Control,213.08,0.0149,0.9476,2,1,729.02
4700,Control,217.56,0.0283,0.9552,2,1,748.77
4800,Control,222.15,0.0017,0.9586,2,1,765.14
4900,Control,225.99,0.0072,0.9608,2,1,781.02
5000,Control,230.61,0.0023,0.9597,2,1,799.5
5100,Control,235.74,0.0053,0.9606,2,1,820.51
5200,Control,240.91,0.0102,0.9624,2,1,836.63
5300,Control,247.36,0.034,0.9584,2,1,859.09
5400,Control,253.53,0.0006,0.9555,2,1,880.65
5500,Control,258.45,0.0193,0.9542,3,1,901.04
5600,Control,262.76,0.0031,0.9581,3,1,918.55
5700,Control,266.09,0.002,0.9567,3,1,932.28
5800,Control,269.32,0.0019,0.9673,3,1,948.84
5900,Control,274.21,0.0097,0.9667,3,1,968.51
6000,Control,277.96,0.0,0.978,3,1,981.82
6100,Control,281.92,0.033,0.9757,4,1,998.89
6200,Control,286.2,0.0008,0.977,4,1,1016.51
6300,Control,291.49,0.0324,0.9759,4,1,1036.48
6400,Control,298.07,0.0041,0.9749,4,1,1057.62
6500,Control,304.68,0.0029,0.9725,3,1,1080.65
6600,Control,309.92,0.0036,0.9755,3,1,1098.47
6700,Control,315.72,0.0,0.9731,3,1,1117.37
6800,Control,320.31,0.0,0.973,3,1,1134.26
6900,Control,325.66,0.0046,0.9699,3,1,1151.67
7000,Control,328.76,0.0,0.9689,3,1,1168.28
7100,Control,333.67,0.0024,0.968,3,1,1183.88
7200,Control,336.9,0.0115,0.9715,4,1,1196.91
7300,Control,341.82,0.0301,0.9698,4,1,1215.03
7400,Control,345.78,0.0017,0.9743,4,1,1229.5
7500,Control,350.96,0.0,0.9734,4,1,1247.35
7600,Control,355.71,0.0035,0.9756,3,1,1263.99
7700,Control,359.06,0.002,0.976,3,1,1278.92
7800,Control,364.25,0.0246,0.9788,3,1,1296.32
7900,Control,370.96,0.0358,0.977,3,1,1318.78
8000,Control,376.76,0.0105,0.978,3,1,1339.52
8100,Control,384.0,0.0061,0.976,3,1,1361.72
8200,Control,387.71,0.0198,0.9766,4,1,1376.51
8300,Control,392.23,0.0269,0.9719,4,1,1393.1
8400,Control,394.76,0.0153,0.9753,4,1,1409.07
8500,Control,401.39,0.0017,0.9786,4,1,1431.6
8600,Control,406.16,0.0,0.9793,4,1,1449.1
8700,Control,410.41,0.0242,0.9792,4,1,1462.92
8800,Control,415.43,0.0127,0.9792,5,1,1483.9
8900,Control,420.67,0.0036,0.9817,4,1,1500.92
9000,Control,426.61,0.0006,0.9793,4,1,1523.28
9100,Control,430.86,0.0017,0.9804,4,1,1539.45
9200,Control,434.07,0.0014,0.9799,4,1,1553.69
9300,Control,438.21,0.0012,0.9821,4,1,1571.55
9400,Control,442.81,0.0131,0.9806,4,1,1589.58
9500,Control,448.17,0.0029,0.9835,4,1,1607.06
9600,Control,454.62,0.0,0.9817,4,1,1626.1
9700,Control,462.89,0.0046,0.9791,4,1,1652.16
9800,Control,465.79,0.0,0.979,4,1,1663.64
9900,Control,471.23,0.0,0.9787,4,1,1680.4
10000,Control,474.93,0.0,0.9787,4,1,1694.64
1,Constrained,12.04,0.1457,0.0,1,1,2.12
100,Constrained,15.73,0.1181,0.0,1,1,14.69
200,Constrained,20.06,0.0213,0.0,1,1,29.64
300,Constrained,23.86,0.0371,0.0,1,1,43.7
400,Constrained,28.49,0.0341,0.0,1,1,59.47
500,Constrained,32.85,0.0526,0.0,1,1,72.35
600,Constrained,36.74,0.0357,0.2209,1,1,85.51
700,Constrained,39.76,0.0095,0.417,2,1,99.69
800,Constrained,41.75,0.0441,0.5297,1,1,106.68
900,Constrained,44.64,0.0299,0.5912,1,1,118.95
1000,Constrained,48.57,0.0462,0.6266,2,1,131.66
1100,Constrained,50.25,0.0071,0.6332,2,1,141.87
1200,Constrained,51.02,0.0188,0.7379,2,1,151.49
1300,Constrained,52.0,0.0034,0.7381,2,1,160.13
1400,Constrained,52.0,0.0231,0.7848,2,1,165.26
1500,Constrained,52.0,0.022,0.8071,2,1,171.61
1600,Constrained,52.0,0.0187,0.8238,2,1,179.28
1700,Constrained,52.0,0.0311,0.8305,2,1,186.65
1800,Constrained,52.0,0.0434,0.8414,2,1,194.19
1900,Constrained,52.0,0.0225,0.8273,2,1,201.73
2000,Constrained,52.0,0.0201,0.8559,2,1,209.09
2100,Constrained,52.0,0.0212,0.8787,2,1,215.95
2200,Constrained,52.0,0.0185,0.9058,2,1,221.69
2300,Constrained,52.0,0.0079,0.9142,2,1,227.0
2400,Constrained,52.0,0.0178,0.9345,2,1,234.55
2500,Constrained,52.0,0.0182,0.9265,2,1,244.78
2600,Constrained,52.0,0.0013,0.9263,2,1,251.56
2700,Constrained,52.0,0.0083,0.9403,2,1,258.25
2800,Constrained,52.0,0.0122,0.9432,2,1,265.13
2900,Constrained,52.0,0.0015,0.9385,2,1,271.27
3000,Constrained,52.0,0.0019,0.9591,2,1,278.5
3100,Constrained,52.0,0.0039,0.9581,2,1,285.39
3200,Constrained,52.0,0.0109,0.9642,2,1,292.78
3300,Constrained,52.0,0.0,0.9599,2,1,299.24
3400,Constrained,52.0,0.0576,0.9627,2,1,304.99
3500,Constrained,52.0,0.0173,0.968,2,1,311.41
3600,Constrained,52.0,0.0054,0.9679,2,1,317.31
3700,Constrained,52.0,0.0186,0.968,2,1,325.01
3800,Constrained,52.0,0.0302,0.9654,2,1,331.47
3900,Constrained,52.0,0.0157,0.9534,2,1,340.81
4000,Constrained,52.0,0.0227,0.9566,2,1,346.61
4100,Constrained,52.0,0.0067,0.9584,3,1,352.66
4200,Constrained,52.0,0.023,0.9585,2,1,359.67
4300,Constrained,52.0,0.0298,0.9468,2,1,369.38
4400,Constrained,52.0,0.0143,0.9614,2,1,378.2
4500,Constrained,52.0,0.0289,0.9578,2,1,385.51
4600,Constrained,52.0,0.0163,0.9475,2,1,392.69
4700,Constrained,52.0,0.0197,0.9447,2,1,400.49
4800,Constrained,52.0,0.0395,0.9356,2,1,407.33
4900,Constrained,52.0,0.0443,0.9488,2,1,414.72
5000,Constrained,52.0,0.013,0.9485,2,1,420.89
5100,Constrained,52.0,0.0104,0.9553,2,1,428.5
5200,Constrained,52.0,0.0083,0.9639,2,1,436.07
5300,Constrained,52.0,0.019,0.9682,2,1,442.87
5400,Constrained,52.0,0.0322,0.9581,2,1,452.43
5500,Constrained,52.0,0.023,0.9536,3,1,461.53
5600,Constrained,52.0,0.0247,0.9467,3,1,469.49
5700,Constrained,52.0,0.0362,0.9467,3,1,474.7
5800,Constrained,52.0,0.0517,0.945,2,1,480.51
5900,Constrained,52.0,0.064,0.9581,3,1,489.84
6000,Constrained,52.0,0.0109,0.9661,3,1,499.61
6100,Constrained,52.0,0.0277,0.9695,2,1,506.34
6200,Constrained,52.0,0.0254,0.9716,2,1,514.58
6300,Constrained,52.0,0.0757,0.9667,2,1,522.05
6400,Constrained,52.0,0.0166,0.9753,4,1,531.13
6500,Constrained,52.0,0.0212,0.9749,4,1,539.53
6600,Constrained,52.0,0.0112,0.973,4,1,548.55
6700,Constrained,52.0,0.0181,0.9776,4,1,556.87
6800,Constrained,52.0,0.0111,0.9788,5,1,563.16
6900,Constrained,52.0,0.0155,0.9725,5,1,570.32
7000,Constrained,52.0,0.0259,0.974,5,1,578.62
7100,Constrained,52.0,0.0632,0.9701,5,1,586.86
7200,Constrained,52.0,0.0254,0.9673,5,1,597.2
7300,Constrained,52.0,0.0434,0.9672,5,1,604.59
7400,Constrained,52.0,0.0335,0.9631,5,1,614.35
7500,Constrained,52.0,0.0807,0.9621,5,1,624.0
7600,Constrained,52.0,0.0283,0.9575,5,1,631.02
7700,Constrained,52.0,0.0318,0.9653,5,1,638.76
7800,Constrained,52.0,0.0394,0.9655,5,1,648.89
7900,Constrained,52.0,0.0137,0.9697,5,1,657.34
8000,Constrained,52.0,0.0375,0.9722,5,1,664.48
8100,Constrained,52.0,0.0208,0.9733,5,1,670.96
8200,Constrained,52.0,0.0205,0.9743,5,1,677.73
8300,Constrained,52.0,0.0166,0.9776,5,1,688.34
8400,Constrained,52.0,0.0288,0.9781,5,1,698.04
8500,Constrained,52.0,0.0367,0.9794,5,1,703.77
8600,Constrained,52.0,0.0494,0.9826,5,1,709.88
8700,Constrained,52.0,0.0262,0.9844,5,1,717.58
8800,Constrained,52.0,0.0113,0.9892,5,1,725.64
8900,Constrained,52.0,0.0421,0.9896,5,1,733.86
9000,Constrained,52.0,0.0383,0.9905,5,1,744.48
9100,Constrained,52.0,0.0454,0.9904,5,1,750.95
9200,Constrained,52.0,0.04,0.9908,5,1,758.69
9300,Constrained,52.0,0.0521,0.989,5,1,767.82
9400,Constrained,52.0,0.0236,0.9895,5,1,774.88
9500,Constrained,52.0,0.0422,0.9911,5,1,781.86
9600,Constrained,52.0,0.0749,0.9894,5,1,788.83
9700,Constrained,52.0,0.093,0.9889,5,1,796.25
9800,Constrained,52.0,0.0567,0.9908,5,1,803.1
9900,Constrained,52.0,0.0807,0.9917,5,1,807.88
10000,Constrained,52.0,0.1114,0.9914,5,1,815.02
