Generation,SurvivalRate,ActionEntropy,ANNEX,GoldilocksStatus,AvgNodes,AvgEdges
500,1.0,0.0,0,REJECT_TOO_EASY,71.65,854.3
1000,1.0,0.0,0,REJECT_TOO_EASY,89.4,889.8
1500,1.0,0.0,0,REJECT_TOO_EASY,98.25,907.5
2000,1.0,0.0,0,REJECT_TOO_EASY,114.15,939.3
2500,1.0,0.0,0,REJECT_TOO_EASY,130.85,972.7
3000,1.0,0.0,0,REJECT_TOO_EASY,145.2,1001.4
3500,1.0,0.0,0,REJECT_TOO_EASY,161.0,1033.0
4000,1.0,0.0,0,REJECT_TOO_EASY,177.2,1065.4
4500,1.0,0.0,0,REJECT_TOO_EASY,188.0,1087.0
5000,1.0,0.0,0,REJECT_TOO_EASY,200.05,1111.1
