Generation,Condition,AvgNodes,ActionEntropy,GAC,SpeciesCount,ANNEX,AvgEdges
1,Constrained,12.04,0.1457,0.0000,1,1,2.12
100,Constrained,15.73,0.1181,0.0000,1,1,14.69
200,Constrained,20.06,0.0213,0.0000,1,1,29.64
300,Constrained,23.86,0.0371,0.0000,1,1,43.70
400,Constrained,28.49,0.0341,0.0000,1,1,59.47
500,Constrained,32.85,0.0526,0.0000,1,1,72.35
600,Constrained,36.74,0.0357,0.2209,1,1,85.51
700,Constrained,39.76,0.0095,0.4170,2,1,99.69
800,Constrained,41.75,0.0441,0.5297,1,1,106.68
900,Constrained,44.64,0.0299,0.5912,1,1,118.95
1000,Constrained,48.57,0.0462,0.6266,2,1,131.66
1100,Constrained,50.25,0.0071,0.6332,2,1,141.87
1200,Constrained,51.02,0.0188,0.7379,2,1,151.49
1300,Constrained,52.00,0.0034,0.7381,2,1,160.13
1400,Constrained,52.00,0.0231,0.7848,2,1,165.26
1500,Constrained,52.00,0.0220,0.8071,2,1,171.61
1600,Constrained,52.00,0.0187,0.8238,2,1,179.28
1700,Constrained,52.00,0.0311,0.8305,2,1,186.65
1800,Constrained,52.00,0.0434,0.8414,2,1,194.19
1900,Constrained,52.00,0.0225,0.8273,2,1,201.73
2000,Constrained,52.00,0.0201,0.8559,2,1,209.09
2100,Constrained,52.00,0.0212,0.8787,2,1,215.95
2200,Constrained,52.00,0.0185,0.9058,2,1,221.69
2300,Constrained,52.00,0.0079,0.9142,2,1,227.00
2400,Constrained,52.00,0.0178,0.9345,2,1,234.55
2500,Constrained,52.00,0.0182,0.9265,2,1,244.78
2600,Constrained,52.00,0.0013,0.9263,2,1,251.56
2700,Constrained,52.00,0.0083,0.9403,2,1,258.25
2800,Constrained,52.00,0.0122,0.9432,2,1,265.13
2900,Constrained,52.00,0.0015,0.9385,2,1,271.27
3000,Constrained,52.00,0.0019,0.9591,2,1,278.50
3100,Constrained,52.00,0.0039,0.9581,2,1,285.39
3200,Constrained,52.00,0.0109,0.9642,2,1,292.78
3300,Constrained,52.00,0.0000,0.9599,2,1,299.24
3400,Constrained,52.00,0.0576,0.9627,2,1,304.99
3500,Constrained,52.00,0.0173,0.9680,2,1,311.41
3600,Constrained,52.00,0.0054,0.9679,2,1,317.31
3700,Constrained,52.00,0.0186,0.9680,2,1,325.01
3800,Constrained,52.00,0.0302,0.9654,2,1,331.47
3900,Constrained,52.00,0.0157,0.9534,2,1,340.81
4000,Constrained,52.00,0.0227,0.9566,2,1,346.61
4100,Constrained,52.00,0.0067,0.9584,3,1,352.66
4200,Constrained,52.00,0.0230,0.9585,2,1,359.67
4300,Constrained,52.00,0.0298,0.9468,2,1,369.38
4400,Constrained,52.00,0.0143,0.9614,2,1,378.20
4500,Constrained,52.00,0.0289,0.9578,2,1,385.51
4600,Constrained,52.00,0.0163,0.9475,2,1,392.69
4700,Constrained,52.00,0.0197,0.9447,2,1,400.49
4800,Constrained,52.00,0.0395,0.9356,2,1,407.33
4900,Constrained,52.00,0.0443,0.9488,2,1,414.72
5000,Constrained,52.00,0.0130,0.9485,2,1,420.89
5100,Constrained,52.00,0.0104,0.9553,2,1,428.50
5200,Constrained,52.00,0.0083,0.9639,2,1,436.07
5300,Constrained,52.00,0.0190,0.9682,2,1,442.87
5400,Constrained,52.00,0.0322,0.9581,2,1,452.43
5500,Constrained,52.00,0.0230,0.9536,3,1,461.53
5600,Constrained,52.00,0.0247,0.9467,3,1,469.49
5700,Constrained,52.00,0.0362,0.9467,3,1,474.70
5800,Constrained,52.00,0.0517,0.9450,2,1,480.51
5900,Constrained,52.00,0.0640,0.9581,3,1,489.84
6000,Constrained,52.00,0.0109,0.9661,3,1,499.61
6100,Constrained,52.00,0.0277,0.9695,2,1,506.34
6200,Constrained,52.00,0.0254,0.9716,2,1,514.58
6300,Constrained,52.00,0.0757,0.9667,2,1,522.05
6400,Constrained,52.00,0.0166,0.9753,4,1,531.13
