Generation,Condition,Environment,EnvHash,SurvivalRate,ActionEntropy,EnergyEfficiency,ANNEX,GoldilocksStatus,ANNEX_Increment,AdaptationSpeed,TrajDiversity,PhenotypeDiversity,EntropyVerdict,AvgNodes,AvgEdges
100,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,ACCEPT,True,100,96.75,0.5273,LOW_COMPLEXITY,469.95,1546.9
200,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,REJECT_TOO_EASY,False,200,99.75,0.5273,LOW_COMPLEXITY,473.3,1553.65
300,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,72.0,0.5273,LOW_COMPLEXITY,473.55,1555.1
400,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,89.25,0.5273,LOW_COMPLEXITY,477.25,1564.15
500,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,62.09,1,REJECT_TOO_EASY,False,1,64.5,0.5263,LOW_COMPLEXITY,478.0,1567.0
100,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,ACCEPT,True,100,102.0,0.5273,LOW_COMPLEXITY,52.0,815.0
200,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,REJECT_TOO_EASY,False,200,103.5,0.5273,LOW_COMPLEXITY,52.0,815.0
300,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,91.5,0.5273,LOW_COMPLEXITY,52.0,815.0
400,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,73.5,0.5273,LOW_COMPLEXITY,52.0,815.0
500,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,65.05,1,REJECT_TOO_EASY,False,1,84.75,0.5263,LOW_COMPLEXITY,52.0,815.0
100,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,ACCEPT,True,100,574.5,0.5273,LOW_COMPLEXITY,124.0,355.15
200,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,REJECT_TOO_EASY,False,200,580.5,0.5273,LOW_COMPLEXITY,124.3,355.6
300,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,464.25,0.5273,LOW_COMPLEXITY,124.4,357.05
400,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,632.25,0.5273,LOW_COMPLEXITY,126.0,365.0
500,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,60.98,1,REJECT_TOO_EASY,False,2,592.5,0.5263,LOW_COMPLEXITY,126.2,366.6
100,Condition D (Naive 12 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,ACCEPT,True,100,76.5,0.5273,LOW_COMPLEXITY,14.05,6.2
200,Condition D (Naive 12 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,REJECT_TOO_EASY,False,200,471.0,0.5273,LOW_COMPLEXITY,16.0,11.15
300,Condition D (Naive 12 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.9,0.0,3.6,1,REJECT_TOO_EASY,False,1,474.75,0.5273,LOW_COMPLEXITY,17.7,14.5
