Generation,Condition,Environment,EnvHash,SurvivalRate,ActionEntropy,EnergyEfficiency,ANNEX,GoldilocksStatus,ANNEX_Increment,AdaptationSpeed,TrajDiversity,PhenotypeDiversity,EntropyVerdict,AvgNodes,AvgEdges
500,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,62.09,0,REJECT_TOO_EASY,False,1,64.5,0.5263,LOW_COMPLEXITY,478.0,1567.0
1000,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,134.53,0,REJECT_TOO_EASY,False,7,53.25,0.5263,LOW_COMPLEXITY,488.1,1595.75
1500,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,0,REJECT_TOO_EASY,False,1,68.25,0.5273,LOW_COMPLEXITY,494.2,1610.4
2000,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,0,REJECT_TOO_EASY,False,7,69.75,0.5263,LOW_COMPLEXITY,496.05,1619.1
2500,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,ACCEPT,True,2500,79.5,0.5273,LOW_COMPLEXITY,500.0,1636.65
3000,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,1,REJECT_TOO_EASY,False,7,66.0,0.5263,LOW_COMPLEXITY,505.55,1652.1
3500,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,27.23,1,REJECT_TOO_EASY,False,1,61.5,0.5263,LOW_COMPLEXITY,509.05,1663.25
4000,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,21.02,1,REJECT_TOO_EASY,False,1,102.0,0.5263,LOW_COMPLEXITY,515.1,1682.25
4500,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,1,REJECT_TOO_EASY,False,7,75.75,0.5263,LOW_COMPLEXITY,527.0,1712.25
5000,Condition A (V5 467 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,72.0,0.5273,LOW_COMPLEXITY,536.1,1740.25
500,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,65.05,0,REJECT_TOO_EASY,False,1,84.75,0.5263,LOW_COMPLEXITY,52.0,815.0
1000,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,120.84,0,REJECT_TOO_EASY,False,2,45.75,0.5263,LOW_COMPLEXITY,52.0,815.0
1500,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,0,REJECT_TOO_EASY,False,1,69.75,0.5273,LOW_COMPLEXITY,52.0,815.0
2000,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,0,REJECT_TOO_EASY,False,7,59.25,0.5263,LOW_COMPLEXITY,52.0,815.0
2500,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,ACCEPT,True,2500,82.5,0.5273,LOW_COMPLEXITY,52.0,815.0
3000,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,1,REJECT_TOO_EASY,False,7,103.5,0.5263,LOW_COMPLEXITY,52.0,815.0
3500,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,29.08,1,REJECT_TOO_EASY,False,1,42.0,0.5263,LOW_COMPLEXITY,52.0,815.0
4000,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,25.46,1,REJECT_TOO_EASY,False,1,80.25,0.5263,LOW_COMPLEXITY,52.0,815.0
4500,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,1,REJECT_TOO_EASY,False,7,78.75,0.5263,LOW_COMPLEXITY,52.0,815.0
5000,Condition B (V6 Constrained 52 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,1,REJECT_TOO_EASY,False,1,77.25,0.5273,LOW_COMPLEXITY,52.0,815.0
500,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,60.98,0,REJECT_TOO_EASY,False,2,592.5,0.5263,LOW_COMPLEXITY,126.2,366.6
1000,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,138.23,0,REJECT_TOO_EASY,False,7,567.75,0.5263,LOW_COMPLEXITY,130.75,386.3
1500,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,4.0,0,REJECT_TOO_EASY,False,1,347.25,0.5273,LOW_COMPLEXITY,131.05,394.15
2000,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,0,REJECT_TOO_EASY,False,7,557.25,0.5263,LOW_COMPLEXITY,136.9,411.95
2500,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,0.5,0.0,-2.0,1,ACCEPT,True,2500,48.75,0.5273,LOW_COMPLEXITY,143.2,433.75
3000,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,152.0,1,REJECT_TOO_EASY,False,7,447.0,0.5263,LOW_COMPLEXITY,149.4,451.8
3500,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,34.26,1,REJECT_TOO_EASY,False,1,585.75,0.5263,LOW_COMPLEXITY,158.05,479.25
4000,Condition C (V4 123 nodes),Shock A (Pressure Wave),7026886d54d1d8a7,1.0,0.0,23.61,1,REJECT_TOO_EASY,False,1,479.25,0.5263,LOW_COMPLEXITY,165.5,500.0
