Seed,Condition,Generation,SurvivalRate,ActionEntropy,ANNEX,GoldilocksStatus,AvgNodes,AvgEdges
42,Condition A (V5 467 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,482.55,1581.15
42,Condition A (V5 467 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,496.35,1620.65
42,Condition A (V5 467 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,516.2,1674.9
42,Condition A (V5 467 nodes),2000,0.85,0.0,1,ACCEPT,527.3,1712.75
42,Condition A (V5 467 nodes),2500,1.0,0.0,1,REJECT_TOO_EASY,536.95,1744.3
42,Condition A (V5 467 nodes),3000,1.0,0.0,1,REJECT_TOO_EASY,549.2,1783.65
42,Condition A (V5 467 nodes),3500,1.0,0.0,1,REJECT_TOO_EASY,567.0,1835.55
42,Condition A (V5 467 nodes),4000,1.0,0.0,1,REJECT_TOO_EASY,577.3,1871.75
42,Condition A (V5 467 nodes),4500,1.0,0.0,1,REJECT_TOO_EASY,591.6,1910.3
42,Condition A (V5 467 nodes),5000,1.0,0.0,1,REJECT_TOO_EASY,603.05,1944.6
42,Condition B (V6 Constrained 52 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),3000,0.8,0.0,1,ACCEPT,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),3500,0.95,0.0,1,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),4000,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),4500,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
42,Condition B (V6 Constrained 52 nodes),5000,1.0,0.0,1,REJECT_TOO_EASY,52.0,815.0
42,Condition C (V4 123 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,143.0,405.2
42,Condition C (V4 123 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,155.1,452.55
42,Condition C (V4 123 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,166.4,498.8
42,Condition C (V4 123 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,175.6,538.45
42,Condition C (V4 123 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,187.15,573.35
42,Condition C (V4 123 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,199.0,610.1
42,Condition C (V4 123 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,212.35,661.8
42,Condition C (V4 123 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,229.25,719.0
42,Condition C (V4 123 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,247.0,776.95
42,Condition C (V4 123 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,261.85,829.7
42,Condition D (Naive 12 nodes),500,0.5,0.2823,1,ACCEPT,20.0,38.1
42,Condition D (Naive 12 nodes),1000,0.9,1.0227,1,REJECT_TOO_EASY,33.5,86.05
42,Condition D (Naive 12 nodes),1500,0.5,0.0,1,REJECT_TOO_EASY,46.8,127.7
42,Condition D (Naive 12 nodes),2000,0.15,0.0,1,ACCEPT,57.5,174.15
42,Condition D (Naive 12 nodes),2500,0.5,0.0,1,REJECT_TOO_EASY,64.5,207.1
42,Condition D (Naive 12 nodes),3000,0.5,0.0,1,REJECT_TOO_EASY,81.45,262.55
42,Condition D (Naive 12 nodes),3500,0.45,0.0,1,REJECT_TOO_EASY,91.25,300.8
42,Condition D (Naive 12 nodes),4000,0.25,0.0,1,REJECT_TOO_EASY,104.1,346.3
42,Condition D (Naive 12 nodes),4500,0.45,0.2464,1,REJECT_TOO_EASY,120.5,409.1
42,Condition D (Naive 12 nodes),5000,0.4,0.0,1,REJECT_TOO_EASY,134.0,454.05
123,Condition A (V5 467 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,483.2,1591.8
123,Condition A (V5 467 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,495.45,1631.95
123,Condition A (V5 467 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,514.5,1681.55
123,Condition A (V5 467 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,525.35,1715.4
123,Condition A (V5 467 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,536.1,1758.45
123,Condition A (V5 467 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,549.5,1801.0
123,Condition A (V5 467 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,575.0,1873.0
123,Condition A (V5 467 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,589.0,1915.0
123,Condition A (V5 467 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,608.3,1964.4
123,Condition A (V5 467 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,624.2,2014.3
123,Condition B (V6 Constrained 52 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition B (V6 Constrained 52 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,52.0,815.0
123,Condition C (V4 123 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,132.0,392.2
123,Condition C (V4 123 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,143.0,437.55
123,Condition C (V4 123 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,152.0,470.0
123,Condition C (V4 123 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,159.1,508.9
123,Condition C (V4 123 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,169.7,545.4
123,Condition C (V4 123 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,190.7,605.9
123,Condition C (V4 123 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,205.0,659.8
123,Condition C (V4 123 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,220.1,718.3
123,Condition C (V4 123 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,238.45,773.7
123,Condition C (V4 123 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,250.2,823.6
123,Condition D (Naive 12 nodes),500,0.65,0.9671,1,ACCEPT,30.0,62.2
123,Condition D (Naive 12 nodes),1000,0.65,0.469,1,REJECT_TOO_EASY,41.15,107.05
123,Condition D (Naive 12 nodes),1500,0.8,0.5499,1,REJECT_TOO_EASY,49.0,144.0
123,Condition D (Naive 12 nodes),2000,0.75,0.8278,1,REJECT_TOO_EASY,64.7,198.55
123,Condition D (Naive 12 nodes),2500,0.9,1.0348,1,REJECT_TOO_EASY,85.1,264.35
123,Condition D (Naive 12 nodes),3000,0.35,0.0364,1,REJECT_TOO_EASY,103.05,322.35
123,Condition D (Naive 12 nodes),3500,0.4,0.0,1,REJECT_TOO_EASY,119.1,368.25
123,Condition D (Naive 12 nodes),4000,0.2,0.1831,1,ACCEPT,128.55,409.15
123,Condition D (Naive 12 nodes),4500,0.5,0.0808,1,REJECT_TOO_EASY,140.25,444.85
123,Condition D (Naive 12 nodes),5000,0.4,0.3038,1,REJECT_TOO_EASY,153.0,489.1
456,Condition A (V5 467 nodes),500,1.0,0.0,0,REJECT_TOO_EASY,482.1,1584.2
456,Condition A (V5 467 nodes),1000,1.0,0.0,0,REJECT_TOO_EASY,495.1,1621.7
456,Condition A (V5 467 nodes),1500,1.0,0.0,0,REJECT_TOO_EASY,507.6,1655.2
456,Condition A (V5 467 nodes),2000,1.0,0.0,0,REJECT_TOO_EASY,516.0,1683.9
456,Condition A (V5 467 nodes),2500,1.0,0.0,0,REJECT_TOO_EASY,538.55,1746.15
456,Condition A (V5 467 nodes),3000,1.0,0.0,0,REJECT_TOO_EASY,555.35,1789.3
456,Condition A (V5 467 nodes),3500,1.0,0.0,0,REJECT_TOO_EASY,573.0,1838.7
456,Condition A (V5 467 nodes),4000,1.0,0.0,0,REJECT_TOO_EASY,588.15,1877.05
456,Condition A (V5 467 nodes),4500,1.0,0.0,0,REJECT_TOO_EASY,601.35,1917.3
456,Condition A (V5 467 nodes),5000,1.0,0.0,0,REJECT_TOO_EASY,622.65,1978.45
