Generation,Condition,Environment,SurvivalRate,ActionEntropy,EnergyEfficiency,ANNEX,AdaptationSpeed,AvgNodes,AvgEdges
500,Condition A (V5 467 nodes),Shock A,1.0,0.0,197.5331,1528.0,1,478.2,1568.45
1000,Condition A (V5 467 nodes),Shock A,1.0,0.0,198.6082,1544.0,1,495.0,1605.0
1500,Condition A (V5 467 nodes),Shock A,1.0,0.0,197.3659,1570.0,1,504.1,1632.35
2000,Condition A (V5 467 nodes),Shock A,1.0,0.0,198.97,1588.0,1,513.05,1653.1
2500,Condition A (V5 467 nodes),Shock A,1.0,0.0,198.6403,1603.0,1,519.0,1674.0
3000,Condition A (V5 467 nodes),Shock A,1.0,0.0,199.0489,1621.0,1,523.0,1685.55
3500,Condition A (V5 467 nodes),Shock A,1.0,0.0,199.0631,1624.0,1,532.0,1705.0
4000,Condition A (V5 467 nodes),Shock A,1.0,0.0,197.6566,1635.0,1,539.0,1729.05
4500,Condition A (V5 467 nodes),Shock A,1.0,0.0,197.7548,1650.0,1,549.35,1758.75
5000,Condition A (V5 467 nodes),Shock A,1.0,0.0,199.2063,1675.0,1,555.2,1776.4
500,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,199.2432,815.0,1,52.0,815.0
1000,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,196.8275,815.0,1,52.0,815.0
1500,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,198.6018,815.0,1,52.0,815.0
2000,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,198.1511,815.0,1,52.0,815.0
2500,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,197.2922,815.0,1,52.0,815.0
3000,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,196.794,815.0,1,52.0,815.0
3500,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,197.0668,815.0,1,52.0,815.0
4000,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,197.4402,815.0,1,52.0,815.0
4500,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,198.7026,815.0,1,52.0,815.0
5000,Condition B (V6 Constrained 52 nodes),Shock A,1.0,0.0,197.726,815.0,1,52.0,815.0
500,Condition C (V4 123 nodes),Shock A,1.0,0.0,196.6526,345.0,1,128.4,370.85
1000,Condition C (V4 123 nodes),Shock A,1.0,0.0,198.6499,364.0,1,134.9,394.85
1500,Condition C (V4 123 nodes),Shock A,1.0,0.0,197.3526,381.0,1,140.1,411.35
2000,Condition C (V4 123 nodes),Shock A,1.0,0.0,198.5091,395.0,1,143.0,426.1
2500,Condition C (V4 123 nodes),Shock A,1.0,0.0,198.1718,400.0,1,154.0,459.05
3000,Condition C (V4 123 nodes),Shock A,1.0,0.0,199.0867,424.0,1,160.2,476.7
3500,Condition C (V4 123 nodes),Shock A,1.0,0.0,196.835,434.0,1,170.0,501.0
4000,Condition C (V4 123 nodes),Shock A,1.0,0.0,197.4165,453.0,1,174.05,517.3
4500,Condition C (V4 123 nodes),Shock A,1.0,0.0,199.5703,462.0,1,181.0,538.0
5000,Condition C (V4 123 nodes),Shock A,1.0,0.0,197.2446,477.0,1,187.0,557.45
500,Condition D (Naive 12 nodes),Shock A,1.0,0.2614,201.19,1.0,1,16.0,18.5
1000,Condition D (Naive 12 nodes),Shock A,1.0,0.0322,211.8635,15.0,1,21.05,38.55
1500,Condition D (Naive 12 nodes),Shock A,1.0,0.0766,207.3893,29.0,1,26.1,55.2
